# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 銀河の里キゴ山 (緯度36.524037, 経度136.753986, 観測者標高545.4m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-0.821,50000
1,-0.805,45400
2,-0.778,45700
3,-0.748,46500
4,-0.730,46200
5,-0.694,27500
6,-0.567,28500
7,-0.435,27300
8,-0.371,30100
9,-0.159,28200
10,0.036,29000
11,-0.010,29300
12,-0.199,28700
13,-0.276,29100
14,-0.152,29200
15,-0.154,29500
16,-0.258,30000
17,-0.256,30400
18,-0.289,47800
19,-0.294,49900
20,-0.405,30900
21,-0.393,50000
22,-0.416,50000
23,-0.520,48600
24,-0.589,47500
25,-0.608,30600
26,-0.635,28700
27,-0.612,22700
28,-0.688,48300
29,-0.779,32000
30,-0.637,32000
31,-0.761,31700
32,-0.792,32100
33,-0.744,34300
34,-0.764,34000
35,-0.785,35900
36,-0.821,50000
37,-0.637,37900
38,-0.601,37200
39,-0.698,38600
40,-0.769,38700
41,-0.821,50000
42,-0.821,50000
43,-0.821,50000
44,-0.821,50000
45,-0.723,3600
46,-0.466,3600
47,-0.312,3600
48,-0.193,3800
49,-0.138,3600
50,0.384,3800
51,0.687,3800
52,0.854,3700
53,1.043,3700
54,1.121,3900
55,1.361,3800
56,1.195,3700
57,1.356,3700
58,1.502,3800
59,1.727,4000
60,1.964,4000
61,1.763,3900
62,1.314,3800
63,1.590,3800
64,1.535,3800
65,1.763,3700
66,2.249,3700
67,2.419,3700
68,2.402,3700
69,2.292,3700
70,2.247,3700
71,2.259,3700
72,2.269,3700
73,2.334,3700
74,2.472,3600
75,2.700,3600
76,2.778,3700
77,3.069,3700
78,3.393,3700
79,3.554,3700
80,3.643,3700
81,3.916,3700
82,4.403,3700
83,4.745,3600
84,4.996,3600
85,5.114,3600
86,4.975,3600
87,5.210,3800
88,4.946,4000
89,4.777,4000
90,4.706,4100
