# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 南六呂師 (緯度36.022434, 経度136.598015, 観測者標高757.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,32.663,200
1,32.663,200
2,32.993,200
3,32.993,200
4,33.298,200
5,33.298,200
6,33.298,200
7,33.506,200
8,33.506,200
9,33.396,200
10,33.396,200
11,32.979,200
12,32.979,200
13,32.301,200
14,32.301,200
15,31.047,200
16,29.687,200
17,29.687,200
18,27.701,200
19,27.701,200
20,26.271,600
21,26.250,600
22,26.323,600
23,26.123,600
24,25.924,500
25,25.710,600
26,25.184,500
27,25.009,600
28,24.461,600
29,23.691,700
30,23.124,700
31,22.618,700
32,22.066,700
33,21.872,700
34,21.796,1400
35,21.457,1400
36,20.916,1400
37,19.619,1500
38,18.421,1200
39,18.163,1200
40,17.964,1200
41,16.953,1200
42,15.918,1200
43,15.111,1200
44,14.566,1300
45,13.864,1300
46,13.247,3200
47,13.861,3100
48,14.050,3100
49,13.777,3100
50,13.101,3000
51,12.540,3000
52,12.926,2900
53,13.387,2900
54,13.579,2800
55,13.786,2700
56,13.763,2700
57,13.771,2700
58,13.684,2700
59,13.559,2600
60,13.817,2600
61,13.945,2600
62,14.019,2600
63,14.372,2500
64,14.531,2500
65,15.106,2500
66,15.147,2500
67,15.282,2400
68,15.093,2400
69,14.710,2500
70,14.855,2400
71,15.250,2400
72,15.025,2400
73,14.505,2400
74,14.493,2400
75,14.548,2400
76,14.180,2400
77,13.788,2200
78,13.352,2400
79,13.269,2400
80,13.113,2400
81,12.882,2400
82,12.703,2400
83,12.503,2100
84,12.419,2100
85,12.158,2100
86,11.931,2100
87,12.306,1100
88,12.953,1100
89,13.463,1200
90,14.138,1200
91,14.659,1200
92,15.582,1200
93,16.197,1200
94,16.737,1200
95,16.894,1200
96,17.365,1100
97,17.611,1100
98,17.754,1100
99,17.585,1100
100,18.088,1000
101,18.514,1000
102,18.701,1000
103,18.999,900
104,19.337,900
105,19.632,900
106,19.906,900
107,19.906,900
108,19.626,900
109,19.353,900
110,19.646,800
111,19.594,800
112,18.787,800
113,18.359,700
114,18.903,700
115,19.294,700
116,19.729,700
117,19.641,700
118,19.709,700
119,19.255,700
120,18.858,700
121,18.088,700
122,17.644,600
123,17.897,600
124,17.504,600
125,17.039,600
126,16.487,600
127,16.613,600
128,16.105,600
129,15.707,600
130,15.417,600
131,15.094,600
132,14.693,600
133,14.188,600
134,14.151,600
135,13.731,600
136,13.110,600
137,12.299,600
138,11.739,600
139,11.796,600
140,11.442,600
141,10.920,600
142,9.890,600
143,8.809,600
144,7.988,600
145,7.449,600
146,6.776,600
147,6.283,600
148,6.029,600
149,5.852,600
150,5.719,800
151,5.752,800
152,5.277,800
153,4.926,800
154,4.024,800
155,3.754,1100
156,3.760,1100
157,3.810,1100
158,3.898,1100
159,3.857,1100
160,3.506,1100
161,2.658,1100
162,3.006,1200
163,2.638,5100
164,2.644,5100
165,2.467,5100
166,2.358,1300
167,2.330,1300
168,2.511,9900
169,2.671,9900
170,2.899,9900
171,2.926,10000
172,3.287,9900
173,3.625,9900
174,3.573,9900
175,3.945,9900
176,4.109,9900
177,4.185,9800
178,4.333,9800
179,4.127,9700
180,3.428,9600
181,2.907,9900
182,2.698,8600
183,2.561,8600
184,2.569,8500
185,2.679,8400
186,2.638,8300
187,2.210,8200
188,2.142,8100
