# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 九頭竜湖 (緯度35.904482, 経度136.661545, 観測者標高426.5m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,18.685,600
1,18.471,500
2,19.292,500
3,19.959,500
4,20.230,500
5,20.083,500
6,19.690,500
7,19.648,400
8,19.554,400
9,19.206,400
10,18.793,400
11,18.203,400
12,17.709,400
13,17.230,400
14,17.230,400
15,17.018,300
16,16.528,300
17,16.528,300
18,15.429,400
19,15.163,400
20,15.588,400
21,15.588,400
22,15.946,400
23,15.585,400
24,15.247,400
25,14.546,400
26,13.984,400
27,13.984,400
28,13.099,400
29,12.481,400
30,12.401,300
31,12.284,300
32,11.250,300
33,10.721,600
34,10.368,600
35,9.990,600
36,9.765,600
37,10.229,600
38,10.200,600
39,10.203,600
40,10.125,600
41,9.960,600
42,9.815,600
43,9.674,600
44,9.564,600
45,9.477,600
46,9.394,600
47,9.402,600
48,9.587,600
49,9.368,600
50,9.145,600
51,8.833,600
52,8.431,600
53,8.055,600
54,7.962,2100
55,7.844,2100
56,7.168,2100
57,7.220,2400
58,7.042,2400
59,7.436,2500
60,7.450,2700
61,7.323,2700
62,7.572,2700
63,7.482,2700
64,7.364,2800
65,7.916,1700
66,8.538,1700
67,8.744,1700
68,8.940,1700
69,9.356,1700
70,9.527,1700
71,10.035,1800
72,10.026,1800
73,10.388,1900
74,10.831,1900
75,10.556,1900
76,10.491,2000
77,10.840,2000
78,10.988,2000
79,10.923,2200
80,10.959,2200
81,11.293,2100
82,11.530,2100
83,11.592,2100
84,11.760,1900
85,11.942,1900
86,11.874,1900
87,11.554,1900
88,11.341,1900
89,10.911,1900
90,10.368,1900
91,9.929,1900
92,9.835,1800
93,9.738,1800
94,9.457,1800
95,8.898,1800
96,8.589,2100
97,8.255,2100
98,8.018,2100
99,8.055,700
100,8.430,700
101,9.072,700
102,9.465,700
103,10.226,700
104,10.930,700
105,11.165,700
106,11.877,700
107,12.086,700
108,12.840,700
109,13.015,700
110,13.576,700
111,13.676,700
112,14.243,700
113,14.412,700
114,14.641,700
115,15.083,700
116,15.195,700
117,15.528,700
118,15.863,700
119,16.334,700
120,16.449,700
121,16.521,700
122,16.998,700
123,16.938,700
124,16.826,700
125,17.136,700
126,17.122,700
127,17.145,700
128,17.382,700
129,18.045,700
130,18.168,700
131,18.076,700
132,17.952,700
133,17.876,700
134,18.175,700
135,18.260,700
136,18.355,700
137,18.507,700
138,18.570,700
139,19.031,700
140,19.572,800
141,19.993,700
142,20.472,800
143,21.014,700
144,21.369,700
145,21.584,800
146,21.715,800
147,21.700,800
148,21.601,800
149,21.237,800
150,21.097,900
151,21.096,900
152,20.865,900
153,20.963,1200
154,21.194,1000
155,21.139,1000
156,21.021,1000
157,20.876,1000
158,20.446,1000
159,20.249,1500
160,20.454,1500
161,20.370,1500
162,19.977,1500
163,19.750,1300
164,19.493,1300
165,19.125,1300
166,18.752,1300
167,18.596,1600
168,18.404,1600
169,18.310,1600
170,18.177,1600
171,17.804,1600
172,17.474,1600
173,17.240,1500
174,17.182,1500
175,16.812,1500
176,16.092,1700
177,15.926,1600
178,15.917,1600
179,15.995,1600
180,16.061,1600
181,16.127,1700
182,16.118,1700
183,15.964,1700
184,15.590,1700
185,15.154,1700
186,14.721,1800
187,15.021,1800
188,14.857,1800
189,14.530,1800
190,13.950,1800
191,13.621,1800
192,13.405,1900
193,13.603,1900
194,13.788,1900
195,13.947,1900
196,14.030,1900
197,13.934,1900
198,13.912,2000
199,13.981,2000
200,13.998,1900
201,13.888,2000
202,13.769,2000
203,13.661,2000
204,13.360,2000
205,13.175,2000
206,12.854,2000
207,12.951,2100
208,13.153,2100
209,13.403,2100
210,13.539,2100
211,13.539,2100
212,13.478,2100
213,13.351,2100
214,13.181,2100
215,13.205,2100
216,13.225,2100
217,13.052,2100
218,12.563,2100
219,12.285,2200
220,12.205,2200
221,11.994,2200
222,11.565,2100
223,11.617,2100
224,11.310,2100
225,11.584,2100
226,11.487,2100
227,10.618,2100
228,10.271,2000
229,10.005,2000
230,9.498,1900
231,9.668,1900
232,9.728,1900
233,9.580,1900
234,9.396,1900
235,8.762,1800
236,9.139,1800
237,9.373,1800
238,9.601,1800
239,9.888,1800
240,9.949,1800
241,9.925,1800
242,9.869,1800
243,9.650,1800
244,9.434,1800
245,9.158,1800
246,9.062,1800
247,8.895,1800
248,8.925,1800
249,8.946,1800
250,9.002,1800
251,9.101,1700
252,8.997,600
253,9.011,600
254,9.468,600
255,9.546,600
256,9.923,600
257,10.467,600
258,10.568,600
259,10.603,600
260,10.668,700
261,11.285,700
262,11.650,700
263,11.813,700
264,12.120,700
265,12.356,700
266,12.455,700
267,12.643,700
268,12.698,700
269,12.749,700
270,12.719,700
271,12.569,700
272,12.361,700
273,12.237,700
274,12.012,700
275,12.018,700
276,12.149,700
277,12.328,700
278,12.420,700
279,12.444,700
280,12.584,700
281,13.072,800
282,13.580,800
283,14.093,800
284,14.736,800
285,14.948,800
286,15.385,800
287,15.756,800
288,15.732,800
289,15.856,800
290,16.059,900
291,16.495,900
292,16.832,900
293,17.211,900
294,17.497,900
295,17.690,900
296,17.932,900
297,17.854,900
298,17.834,900
299,17.857,900
300,17.916,900
301,18.411,1000
302,18.871,1000
303,18.579,1000
304,18.068,900
305,17.797,900
306,17.250,900
307,17.215,800
308,16.906,800
309,16.701,800
310,16.710,1400
311,17.076,1400
312,17.413,1400
313,17.677,1400
314,17.970,1400
315,18.003,1400
316,17.921,1400
317,17.742,1400
318,18.977,200
319,18.977,200
320,18.977,200
321,20.606,200
322,20.606,200
323,20.606,200
324,20.485,200
325,21.600,200
326,22.049,300
327,22.723,300
328,22.723,300
329,23.927,300
330,24.168,300
331,24.168,300
332,24.838,300
333,24.838,300
334,24.632,300
335,25.124,300
336,25.124,300
337,24.471,300
338,25.269,300
339,24.828,400
340,24.800,400
341,24.666,400
342,24.143,400
343,23.619,300
344,23.619,300
345,22.935,300
346,22.979,200
347,22.979,200
348,22.138,200
349,22.138,200
350,22.138,200
351,21.116,200
352,21.116,200
353,19.905,200
354,19.905,200
355,19.191,600
356,19.238,600
357,19.256,600
358,19.253,600
359,18.945,600
