# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 三方五湖レインボーライン山頂公園 (緯度35.602442, 経度135.870411, 観測者標高319.9m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-0.562,50000
1,-0.562,50000
2,-0.562,50000
3,-0.562,50000
4,-0.562,50000
5,-0.562,50000
6,-0.562,50000
7,-0.562,50000
8,-0.562,50000
9,-0.562,50000
10,-0.562,50000
11,-0.446,42800
12,-0.190,44100
13,-0.049,43300
14,0.223,43700
15,0.232,43700
16,0.263,44300
17,0.248,43800
18,0.204,45600
19,0.079,47200
20,0.113,36900
21,0.105,36600
22,0.165,36000
23,0.173,36100
24,0.115,33500
25,0.058,33800
26,-0.126,34300
27,-0.145,32900
28,-0.307,34700
29,-0.235,40100
30,-0.155,40200
31,-0.034,37500
32,0.115,39100
33,-0.043,38700
34,-0.072,33300
35,-0.003,32900
36,0.133,33000
37,0.005,17000
38,0.309,17400
39,0.410,18900
40,0.683,19000
41,0.804,18800
42,0.907,18800
43,0.898,18700
44,0.986,18600
45,1.126,18100
46,1.183,17300
47,1.357,17300
48,1.137,17500
49,0.906,17500
50,0.717,17600
51,0.501,32300
52,0.416,32600
53,0.353,32900
54,0.422,28000
55,0.425,28000
56,0.536,27900
57,0.497,28100
58,0.631,28000
59,0.678,27700
60,0.710,27400
61,0.815,27300
62,0.802,100
63,0.802,100
64,0.802,100
65,0.854,48700
66,1.380,100
67,1.380,100
68,1.380,100
69,1.363,100
70,1.363,100
71,1.804,100
72,1.804,100
73,1.804,100
74,1.804,100
75,1.804,100
76,1.924,100
77,1.924,100
78,1.924,100
79,1.924,100
80,1.810,100
81,1.810,100
82,1.810,100
83,1.810,100
84,1.810,100
85,1.546,100
86,1.546,100
87,1.546,100
88,1.546,100
89,1.248,100
90,1.248,100
91,1.460,13800
92,1.669,13800
93,1.895,13800
94,2.008,13700
95,2.208,13900
96,2.279,14100
97,2.182,14100
98,1.990,13900
99,1.749,14400
100,1.688,14300
101,1.497,12100
102,1.461,14700
103,1.505,14800
104,1.442,14800
105,1.697,14800
106,1.914,14700
107,2.047,14700
108,1.965,14600
109,1.935,14600
110,1.908,14700
111,1.970,12800
112,2.112,12800
113,2.290,12700
114,2.254,12800
115,2.112,12800
116,2.060,12900
117,1.900,12900
118,1.760,16100
119,1.864,16200
120,1.812,16300
121,1.649,100
122,4.704,100
123,4.704,100
124,4.704,100
125,4.704,100
126,4.704,100
127,5.131,100
128,5.131,100
129,5.131,100
130,7.969,100
131,7.969,100
132,7.969,100
133,9.720,100
134,9.720,100
135,9.720,100
136,12.112,100
137,12.112,100
138,12.112,100
139,13.501,100
140,13.501,100
141,13.501,100
142,14.574,100
143,14.574,100
144,14.574,100
145,14.574,100
146,15.912,100
147,15.912,100
148,17.625,100
149,17.625,100
