# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: ひるがの高原 (緯度36.005823, 経度136.91336, 観測者標高916.7m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,4.026,4200
1,4.261,4200
2,4.259,4300
3,4.644,4300
4,4.563,4300
5,4.369,4300
6,4.646,4200
7,4.300,4200
8,4.341,4200
9,4.209,4300
10,4.402,4200
11,4.188,4200
12,3.713,4200
13,3.690,400
14,3.887,400
15,4.119,400
16,4.350,400
17,4.581,400
18,4.811,400
19,5.009,400
20,5.009,400
21,5.207,400
22,5.405,400
23,5.600,400
24,5.801,400
25,5.981,400
26,5.981,400
27,6.017,400
28,6.163,400
29,6.038,400
30,6.198,500
31,6.361,500
32,6.556,500
33,6.749,500
34,6.909,500
35,7.098,500
36,7.258,500
37,7.442,500
38,7.621,500
39,7.730,600
40,7.948,600
41,8.141,600
42,8.328,600
43,8.497,600
44,8.678,600
45,8.892,600
46,9.130,600
47,9.151,600
48,9.387,600
49,9.610,600
50,9.790,600
51,9.917,600
52,10.006,600
53,10.117,600
54,10.170,200
55,10.335,500
56,10.413,600
57,10.653,600
58,10.915,500
59,10.998,200
60,11.202,500
61,11.377,300
62,11.740,300
63,11.755,400
64,12.189,300
65,12.189,300
66,12.355,300
67,12.321,300
68,12.723,300
69,12.683,300
70,12.630,300
71,12.838,400
72,13.088,300
73,13.138,300
74,13.138,300
75,13.351,400
76,13.598,300
77,13.974,300
78,14.227,300
79,14.407,300
80,14.407,300
81,14.335,300
82,14.136,300
83,14.136,300
84,14.127,300
85,14.172,300
86,14.172,300
87,14.242,300
88,14.604,300
89,14.604,300
90,14.439,300
91,14.281,300
92,14.281,300
93,13.708,300
94,13.688,300
95,13.688,300
96,13.758,300
97,13.855,300
98,13.855,300
99,13.965,300
100,14.055,300
101,14.055,300
102,14.091,300
103,14.060,200
104,14.060,200
105,14.052,200
106,14.052,200
107,13.490,200
108,13.490,200
109,13.490,200
110,13.433,200
111,13.433,200
112,13.338,200
113,13.338,200
114,12.715,200
115,12.715,200
116,12.715,200
117,12.453,200
118,12.453,200
119,11.788,200
120,11.788,200
121,11.788,200
122,11.659,200
123,11.260,200
124,11.260,200
125,11.196,200
126,11.196,200
127,10.741,200
128,10.741,200
129,10.741,200
130,10.699,200
131,10.289,200
132,10.289,200
133,10.292,200
134,9.875,200
135,9.875,200
136,9.892,200
137,9.444,200
138,9.444,200
139,9.461,200
140,8.846,200
141,8.846,200
142,8.846,200
143,8.224,200
144,8.224,200
145,8.224,200
146,7.581,200
147,7.615,200
148,7.530,100
149,7.003,200
150,7.003,200
151,6.576,200
152,6.576,200
153,6.871,100
154,6.240,200
155,6.240,200
156,6.101,200
157,6.101,200
158,5.767,100
159,5.667,200
160,5.667,200
161,5.227,200
162,5.335,200
163,4.915,200
164,4.915,200
165,4.496,200
166,4.496,200
167,4.496,200
168,4.069,200
169,4.069,200
170,3.721,200
171,3.721,200
172,3.239,200
173,3.239,200
174,2.822,200
175,2.822,200
176,2.822,200
177,2.439,200
178,2.439,200
179,2.125,400
180,2.052,200
181,1.940,400
182,1.810,400
183,1.661,400
184,1.506,400
185,1.381,500
186,1.368,500
187,1.352,500
188,1.331,500
189,1.321,500
190,1.319,500
191,1.316,500
192,1.247,500
193,1.180,500
194,1.091,500
195,0.991,500
196,0.840,500
197,0.735,500
198,0.613,500
199,0.461,500
200,0.311,500
201,0.269,19900
202,0.150,19500
203,0.208,19200
204,0.447,19000
205,0.285,19200
206,0.300,25500
207,0.426,25900
208,0.815,26300
209,0.943,26000
210,0.819,25500
211,0.760,25400
212,0.646,14800
213,0.769,28700
214,0.962,15300
215,1.118,15500
216,1.223,15300
217,1.245,14700
218,1.239,14700
219,0.959,14700
220,0.886,27000
221,0.677,28400
222,0.655,13900
223,0.762,14100
224,0.767,14100
225,0.910,14300
226,1.237,14400
227,1.400,14300
228,1.178,16800
229,1.129,14200
230,1.388,14900
231,1.480,14800
232,1.454,14700
233,1.554,14700
234,1.676,5500
235,1.798,5500
236,1.961,13200
237,1.862,5600
238,2.022,6700
239,2.211,6600
240,2.405,6700
241,2.470,6700
242,2.725,6600
243,2.950,6700
244,3.031,6700
245,3.180,5500
246,3.288,5500
247,3.468,6600
248,3.689,6600
249,3.938,6600
250,4.082,6600
251,4.125,6600
252,4.131,6700
253,4.313,6800
254,4.555,5500
255,4.942,5600
256,5.107,5700
257,5.410,5700
258,5.841,5700
259,6.009,5800
260,5.918,5900
261,5.877,6000
262,6.021,6100
263,6.427,6400
264,6.356,6400
265,6.468,6800
266,6.565,6800
267,6.246,6700
268,6.130,6500
269,6.181,6400
270,6.022,6400
271,6.004,6200
272,6.023,6200
273,6.031,6100
274,5.696,6100
275,5.483,7600
276,5.454,6100
277,5.273,6100
278,5.154,4900
279,5.192,4700
280,5.272,4700
281,5.190,4600
282,5.084,4400
283,5.036,4500
284,4.711,4100
285,4.730,4300
286,4.514,4000
287,4.610,4000
288,4.387,4000
289,4.204,3300
290,4.084,3600
291,4.246,3400
292,4.181,3400
293,4.364,3400
294,4.303,3400
295,4.382,3200
296,4.463,3100
297,4.519,3200
298,4.089,3200
299,3.841,3200
300,4.275,3300
301,4.159,3300
302,4.271,3200
303,4.327,3200
304,4.237,3100
305,4.452,3000
306,4.408,3000
307,4.570,2900
308,4.309,3000
309,4.416,17400
310,4.760,17200
311,4.975,2900
312,4.880,2900
313,4.790,2800
314,4.477,2800
315,4.363,15100
316,4.608,2800
317,4.758,2800
318,5.157,2900
319,5.291,2900
320,5.235,3000
321,5.257,3000
322,5.075,3000
323,4.903,3000
324,4.884,2800
325,5.031,2900
326,5.476,2700
327,5.726,2700
328,5.796,2800
329,5.514,2800
330,5.290,2700
331,5.074,2700
332,4.954,1500
333,5.104,1500
334,5.088,1500
335,4.973,1500
336,4.875,1500
337,4.490,1500
338,4.221,6000
339,4.210,11900
340,4.056,12000
341,3.947,12100
342,4.000,12200
343,4.161,12700
344,3.948,12700
345,3.865,12600
346,3.802,10700
347,3.970,11200
348,4.176,11200
349,4.113,11100
350,3.963,11200
351,4.115,11200
352,3.957,11200
353,3.693,11300
354,3.682,10600
355,3.370,10600
356,3.340,3600
357,3.321,3600
358,3.396,4000
359,3.710,4100
