# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 乗鞍畳平 (緯度36.124539, 経度137.553627, 観測者標高2701.4m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,6.228,400
1,6.853,400
2,7.331,400
3,7.738,400
4,8.163,400
5,8.374,400
6,8.393,400
7,8.249,400
8,7.939,400
9,7.960,400
10,7.960,400
11,7.636,400
12,7.719,200
13,7.645,200
14,9.397,200
15,9.397,200
16,11.141,200
17,11.141,200
18,11.141,200
19,12.401,200
20,12.401,200
21,12.119,200
22,12.119,200
23,12.388,200
24,12.388,200
25,12.388,200
26,11.020,200
27,11.020,200
28,11.044,200
29,11.044,200
30,11.044,200
31,10.131,200
32,10.131,200
33,9.806,200
34,9.904,100
35,9.904,100
36,9.904,100
37,9.904,100
38,8.639,200
39,8.715,100
40,8.715,100
41,8.715,100
42,8.715,100
43,8.715,100
44,7.142,100
45,7.209,100
46,7.209,100
47,7.209,100
48,7.209,100
49,7.209,100
50,5.602,100
51,5.602,100
52,5.529,100
53,5.529,100
54,5.811,600
55,6.273,600
56,6.563,600
57,6.653,600
58,6.638,600
59,6.581,600
60,6.422,600
61,6.427,600
62,6.145,600
63,5.742,600
64,5.976,600
65,5.698,600
66,6.020,500
67,5.965,500
68,5.853,500
69,6.290,500
70,6.220,500
71,6.602,500
72,6.533,500
73,6.466,500
74,6.679,500
75,6.551,500
76,6.386,500
77,6.214,500
78,6.092,500
79,5.725,500
80,5.133,500
81,4.892,500
82,4.680,500
83,4.416,500
84,4.239,500
85,4.020,500
86,3.743,500
87,3.433,500
88,2.746,500
89,2.413,500
90,2.092,500
91,1.843,400
92,1.781,400
93,1.599,400
94,1.599,400
95,1.443,400
96,1.375,400
97,1.568,400
98,1.844,400
99,2.119,400
100,2.318,400
101,2.528,400
102,2.777,400
103,3.052,400
104,3.052,400
105,3.259,400
106,3.687,400
107,4.100,400
108,4.360,400
109,4.668,400
110,4.902,400
111,5.064,400
112,5.258,400
113,5.493,400
114,5.696,400
115,6.216,400
116,6.471,400
117,6.471,400
118,7.059,400
119,7.435,400
120,8.131,400
121,8.503,400
122,8.581,400
123,8.948,400
124,9.291,400
125,9.674,400
126,9.587,400
127,9.993,400
128,10.363,400
129,10.761,400
130,10.756,400
131,11.149,400
132,11.558,400
133,11.469,400
134,11.894,400
135,12.139,400
136,11.949,400
137,12.455,400
138,12.746,400
139,12.519,400
140,13.101,400
141,12.889,400
142,13.188,400
143,13.188,400
144,13.367,400
145,13.078,400
146,13.218,400
147,13.218,400
148,13.218,400
149,13.015,400
150,12.536,400
151,12.536,400
152,11.799,400
153,11.386,400
154,10.430,400
155,9.834,400
156,9.270,400
157,8.908,400
158,8.456,400
159,8.045,400
160,7.429,400
161,7.011,400
162,6.986,800
163,6.974,800
164,7.171,800
165,7.278,800
166,7.935,800
167,8.029,800
168,8.673,800
169,8.824,800
170,8.948,800
171,9.334,800
