# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 白川郷 (緯度36.257345, 経度136.906832, 観測者標高495.6m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,4.883,11400
1,4.640,11300
2,4.734,11200
3,4.793,11100
4,4.973,5000
5,5.689,5000
6,6.016,5100
7,6.202,5200
8,6.416,5600
9,6.797,5500
10,6.941,5600
11,7.022,5700
12,7.010,5800
13,7.265,5800
14,7.220,6000
15,7.056,6000
16,7.176,6100
17,7.207,6100
18,7.366,2100
19,7.974,2000
20,8.772,2000
21,9.416,2000
22,10.004,2000
23,10.482,2100
24,10.798,2100
25,10.954,2100
26,10.960,2100
27,10.853,2100
28,11.446,2200
29,11.657,2100
30,12.013,2200
31,12.430,2200
32,12.639,2200
33,13.277,2100
34,13.860,2100
35,14.120,2100
36,14.503,2100
37,14.706,2100
38,14.820,2100
39,15.132,2100
40,15.350,2100
41,15.693,2000
42,15.400,2200
43,15.423,2500
44,15.741,2500
45,15.994,2500
46,15.955,2600
47,15.802,2600
48,15.811,2600
49,15.990,2600
50,16.178,2700
51,16.566,2700
52,17.091,2700
53,17.483,2700
54,17.741,2800
55,17.635,2800
56,17.427,2800
57,16.984,2800
58,16.735,2300
59,16.622,2300
60,16.284,2300
61,15.927,2300
62,15.345,2200
63,14.708,2400
64,14.369,2300
65,14.715,400
66,14.715,400
67,14.928,400
68,15.525,400
69,15.813,600
70,16.413,600
71,16.939,600
72,17.911,600
73,18.239,600
74,18.476,600
75,18.748,600
76,19.279,600
77,19.537,600
78,19.765,500
79,20.109,500
80,20.712,500
81,20.866,500
82,21.045,500
83,21.065,500
84,21.211,600
85,21.727,600
86,21.998,600
87,22.383,600
88,22.510,600
89,22.677,600
90,23.141,600
91,23.403,600
92,23.657,600
93,23.805,600
94,23.797,600
95,23.759,600
96,23.650,600
97,23.598,600
98,23.450,600
99,23.366,600
100,22.502,600
101,22.538,600
102,22.800,600
103,22.412,600
104,23.087,600
105,23.355,600
106,22.982,600
107,23.053,600
108,22.985,600
109,22.499,700
110,22.905,700
111,22.894,700
112,22.988,700
113,22.863,700
114,22.946,700
115,22.704,700
116,22.801,1000
117,22.864,1000
118,22.927,1000
119,23.045,1000
120,23.189,1000
121,23.336,1000
122,23.481,1100
123,23.775,1100
124,23.802,1100
125,23.929,1200
126,24.229,1200
127,24.262,1200
128,24.008,1200
129,23.901,1200
130,23.742,1200
131,23.495,1300
132,23.485,1300
133,23.470,1300
134,23.351,1300
135,23.220,1300
136,23.073,1300
137,22.721,1300
138,21.858,1300
139,21.361,1300
140,21.119,1300
141,21.039,1300
142,20.679,1300
143,20.442,1300
144,20.093,1300
145,19.939,1500
146,20.025,1500
147,19.931,1500
148,19.721,1500
149,19.515,1600
150,19.311,1600
151,18.974,1600
152,18.593,1600
153,18.162,1700
154,17.873,1800
155,17.341,1600
156,17.801,1600
157,18.142,1700
158,19.123,1700
159,19.601,1700
160,19.940,1700
161,19.878,1700
162,19.613,1700
163,18.950,1700
164,18.724,1800
165,18.731,2000
166,18.683,1900
167,18.847,1900
168,18.712,1900
169,18.579,1800
170,18.561,1800
171,18.713,1800
172,18.710,1800
173,18.584,1800
174,18.298,1800
175,18.095,1500
176,17.535,1500
177,17.504,1700
178,17.207,1700
179,16.874,1700
180,16.399,1400
181,15.981,1400
182,15.528,1700
183,15.297,1700
184,15.047,1700
185,14.818,1700
186,14.651,1700
187,14.410,1700
188,13.968,1600
189,13.543,1700
190,13.316,1600
191,12.886,1600
192,12.508,1600
193,12.352,1600
194,12.408,1600
195,12.600,1600
196,12.695,1600
197,12.584,1600
198,12.327,1600
199,12.512,1400
200,12.517,1300
201,12.286,1300
202,11.990,1300
203,11.626,1400
204,11.411,1300
205,11.472,1300
206,11.511,1300
207,11.422,1300
208,11.197,1300
209,10.867,1300
210,10.254,1300
211,9.882,1300
212,9.859,8000
213,9.745,7900
214,9.769,7500
215,9.460,7400
216,9.499,1300
217,9.398,1300
218,9.356,1200
219,9.256,1200
220,8.743,1200
221,8.407,1200
222,8.173,1200
223,7.910,1200
224,7.514,1200
225,7.218,1200
226,7.037,13500
227,7.429,16600
228,7.376,11700
229,7.686,11700
230,7.732,11800
231,7.694,11300
232,7.484,11000
233,7.418,11400
234,7.620,11400
235,7.886,11300
236,8.502,8000
237,8.798,8000
238,9.120,6000
239,9.389,6000
240,9.500,6100
241,10.120,6200
242,10.353,6200
243,10.583,6300
244,10.557,6400
245,10.616,6300
246,11.143,6300
247,11.464,6300
248,11.632,6100
249,11.854,3800
250,11.986,5900
251,12.090,5800
252,12.212,5700
253,12.727,4200
254,13.057,4600
255,13.046,4400
256,13.438,5000
257,13.642,5100
258,13.466,5000
259,13.473,5100
260,13.259,5100
261,13.236,5100
262,13.214,5100
263,13.186,5000
264,12.766,4900
265,12.787,5400
266,12.276,5500
267,12.314,5600
268,12.378,800
269,12.369,800
270,12.295,800
271,12.442,5600
272,12.206,5500
273,11.836,5400
274,11.950,900
