# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 新穂高ロープウェイ (緯度36.275245, 経度137.591285, 観測者標高1777.4m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,5.559,10500
1,5.601,10400
2,5.515,10300
3,5.546,8200
4,5.341,8600
5,5.246,8800
6,4.997,9900
7,5.006,10100
8,5.336,10200
9,5.063,10300
10,4.978,10300
11,5.092,10300
12,4.664,10300
13,4.724,10300
14,4.553,10200
15,4.843,10000
16,4.839,9900
17,5.084,9600
18,5.222,9500
19,4.971,9200
20,7.761,100
21,7.761,100
22,7.761,100
23,7.761,100
24,7.761,100
25,9.876,100
26,9.876,100
27,9.876,100
28,9.876,100
29,11.299,100
30,12.685,100
31,12.685,100
32,12.685,100
33,12.685,100
34,12.685,100
35,12.974,100
36,12.974,100
37,14.837,100
38,14.837,100
39,14.837,100
40,14.837,100
41,14.563,100
42,14.563,100
43,14.563,100
44,16.883,100
45,16.883,100
46,16.883,100
47,16.161,100
48,16.161,100
49,16.161,100
50,18.814,100
51,18.814,100
52,18.814,100
53,17.947,100
54,17.947,100
55,20.892,100
56,20.892,100
57,20.892,100
58,20.892,100
59,20.892,100
60,20.892,100
61,23.287,100
62,22.587,100
63,22.587,100
64,22.587,100
65,22.587,100
66,25.267,100
67,25.267,100
68,25.267,100
69,25.267,100
70,27.686,100
71,27.686,100
72,27.686,100
73,27.618,100
74,27.618,100
75,29.484,100
76,29.484,100
77,29.484,100
78,29.484,100
79,30.942,100
80,30.942,100
81,30.942,100
82,30.942,100
83,30.942,100
84,32.161,100
85,32.161,100
86,32.161,100
87,32.161,100
88,33.160,100
89,33.160,100
90,33.160,100
91,33.160,100
92,33.160,100
93,33.936,100
94,33.936,100
95,33.936,100
96,33.936,100
97,34.438,100
98,34.438,100
99,34.438,100
100,34.438,100
101,34.438,100
102,34.582,100
103,34.582,100
104,34.582,100
105,34.582,100
106,33.928,100
107,33.928,100
108,32.289,100
109,32.289,100
110,32.289,100
111,31.508,100
112,31.508,100
113,31.508,100
114,31.508,100
