# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 郡上八幡城 (緯度35.753083, 経度136.961445, 観測者標高331.1m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,4.804,1200
1,4.233,1100
2,4.344,1900
3,4.510,2000
4,4.553,2200
5,4.744,2100
6,5.100,2200
7,4.963,2200
8,4.855,2200
9,4.151,2200
10,4.191,2200
11,4.484,2200
12,4.682,2300
13,4.624,2300
14,4.603,2300
15,4.329,2300
16,4.348,2500
17,4.760,2500
18,4.711,1800
19,4.788,1900
20,5.500,1900
21,6.321,1900
22,6.886,1900
23,7.036,1900
24,7.059,1900
25,6.921,1900
26,6.648,1900
27,6.672,1900
28,6.458,1900
29,6.832,1600
30,6.783,1600
31,6.534,1600
32,6.161,1600
33,6.042,1600
34,5.704,1600
35,5.422,2200
36,5.207,2200
37,5.054,2200
38,4.903,2200
39,4.969,2200
40,4.904,2100
41,5.259,2100
42,5.365,2100
43,5.046,2100
44,4.644,2100
45,4.590,2200
46,4.039,2200
47,3.590,9900
48,3.595,8800
49,3.847,8800
50,4.140,9100
51,4.275,9100
52,4.313,9600
53,4.209,9000
54,4.319,9000
55,4.462,8600
56,4.072,7100
57,3.957,8700
58,4.119,8600
59,4.049,8500
60,4.317,8500
61,4.606,8000
62,4.886,7900
63,4.645,8100
64,4.499,8100
65,4.329,7900
66,4.344,7800
67,4.386,7700
68,4.497,7600
69,4.196,3900
70,4.139,7600
71,4.093,4000
72,4.402,7600
73,4.575,3000
74,5.080,3000
75,5.689,3100
76,6.052,3100
77,6.565,3100
78,7.062,3100
79,7.424,3100
80,7.482,3000
81,7.017,3000
82,6.617,3000
83,6.068,3000
84,6.203,2900
85,6.566,2900
86,7.050,2900
87,7.186,2800
88,7.771,2700
89,8.073,2700
90,7.929,2700
91,8.447,2900
92,8.761,2900
93,9.088,2900
94,9.246,2800
95,8.522,2800
96,8.265,3000
97,8.029,2700
98,7.552,2600
99,7.304,2600
100,6.865,2400
101,6.578,2400
102,6.006,2900
103,6.342,2900
104,6.360,2900
105,6.045,2800
106,6.397,2800
107,6.678,2800
108,7.068,2800
109,7.325,2800
110,7.380,2800
111,7.259,2800
112,7.210,2700
113,7.622,2700
114,7.183,2700
115,7.374,2200
116,7.227,2200
117,6.814,2200
118,6.560,2200
119,6.230,2200
120,6.135,2000
121,5.872,2000
122,5.740,2900
123,5.880,2900
124,5.825,2900
125,5.802,2900
126,5.511,3000
127,5.781,2300
128,6.134,2300
129,6.391,2300
130,6.531,2300
131,6.716,2200
132,6.959,2000
133,7.635,2000
134,7.799,2000
135,7.732,2000
136,7.689,2000
137,7.670,2000
138,7.570,2000
139,7.731,1500
140,8.146,1500
141,8.516,1500
142,8.884,1500
143,9.194,1500
144,9.251,1500
145,9.682,1400
146,9.820,1400
147,9.757,1400
148,9.914,1300
149,10.206,1300
150,10.501,1300
151,10.412,1300
152,10.364,1300
153,10.073,1300
154,10.433,1200
155,11.130,1200
156,11.162,1200
157,10.758,1200
158,10.327,1200
159,9.553,1200
160,9.061,1200
161,8.593,1100
162,8.592,1100
163,8.284,1100
164,7.793,1100
165,7.093,1100
166,6.752,1000
167,6.441,1000
168,6.192,1000
169,6.272,1600
170,6.413,1600
171,6.366,1600
172,6.158,1600
173,5.768,1600
174,5.442,2700
175,5.862,1500
176,6.540,1500
177,7.040,1500
178,7.237,1500
179,7.200,1500
180,6.932,1500
181,6.525,1500
182,6.046,1500
183,5.713,1500
184,5.403,1500
185,5.066,1500
186,4.826,1400
187,4.875,1400
188,4.302,1400
189,4.296,1100
190,3.722,1100
191,3.150,1100
192,2.926,1000
193,3.077,1000
194,3.223,1000
195,3.369,1000
196,2.867,1000
197,2.450,1000
198,2.260,1000
199,1.990,1000
200,2.044,14900
201,2.318,14600
202,2.379,14200
203,2.353,13900
204,2.533,13700
205,2.969,13300
206,3.004,13300
207,3.126,5700
208,3.095,13200
209,3.411,5800
210,3.596,13000
211,3.665,5900
212,3.791,6000
213,3.434,6000
214,3.162,5800
215,3.222,5800
216,3.437,5600
217,3.215,13200
218,3.234,13000
219,3.348,12800
220,3.566,12700
221,3.578,12800
222,3.396,13000
223,3.284,13000
224,3.582,13000
225,3.661,13000
226,3.731,12900
227,3.228,12700
228,3.269,2500
229,3.251,4400
230,3.610,4500
231,3.813,4600
232,3.662,4600
233,3.217,4600
234,3.450,4600
235,3.695,4600
236,3.772,3100
237,3.957,3100
238,4.147,3000
239,4.753,3000
240,4.808,3000
241,4.737,2900
242,5.195,2900
243,5.198,2900
244,4.892,2900
245,5.090,3000
246,5.493,3100
247,5.466,3100
248,5.380,3100
249,5.133,3100
250,5.146,3100
251,4.605,3000
252,5.182,3000
253,5.207,3000
254,5.204,3000
255,5.216,3100
256,5.282,3100
257,4.847,3100
258,4.755,3100
259,4.684,3100
260,4.953,3900
261,5.484,3900
262,5.926,3900
263,6.538,3800
264,6.339,3900
265,6.018,4000
266,6.234,4000
267,5.880,4000
268,6.114,4300
269,6.421,4300
270,6.349,4400
271,6.453,4400
272,6.295,4500
273,5.904,4600
274,5.739,4600
275,5.506,4600
276,5.425,4600
277,4.918,4800
278,4.618,1100
279,4.547,1100
280,4.388,1100
281,4.145,1100
282,4.037,1100
283,3.875,1100
284,4.075,1100
285,3.932,6300
286,4.007,6500
287,4.149,7600
288,4.389,7600
289,4.605,7500
290,4.716,7600
291,4.441,7600
292,4.200,8100
293,4.081,8200
294,4.254,8300
295,4.201,8700
296,4.161,9400
297,4.123,9400
298,4.231,9200
299,4.133,9100
300,3.876,10100
301,3.728,10300
302,3.221,10300
303,2.936,10400
304,2.819,12100
305,3.106,10600
306,3.115,12100
307,3.047,12100
308,3.056,12300
309,2.930,12900
310,2.852,13800
311,2.648,14600
312,2.854,1800
313,3.082,2200
314,2.801,2200
315,3.004,2300
316,3.220,2300
317,2.987,2300
318,2.984,2300
319,3.147,2300
320,2.820,3200
321,2.925,2700
322,2.882,2600
323,2.827,2600
324,2.681,2900
325,2.752,3300
326,2.238,3300
327,2.337,1200
328,2.857,1200
329,3.109,1200
330,3.262,1200
331,3.575,1200
332,3.579,1200
333,3.750,1300
334,4.406,1300
335,4.814,1300
336,5.152,1300
337,5.603,1300
338,5.608,1300
339,5.146,1400
340,4.908,800
341,5.095,800
342,5.331,800
343,5.492,800
344,5.435,1400
345,5.231,1400
346,5.157,1500
347,5.411,1200
348,6.076,1200
349,6.034,1200
350,5.614,1200
351,5.842,1300
352,5.945,1400
353,6.134,1400
354,5.571,1400
355,5.790,1300
356,5.983,1200
357,6.374,1200
358,6.158,1200
359,5.740,1200
