# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 朝霧高原 (緯度35.385236, 経度138.57218, 観測者標高805.5m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,5.873,5100
1,5.677,5100
2,5.170,5100
3,5.172,2700
4,5.350,2800
5,4.685,6400
6,5.143,6500
7,5.480,6700
8,5.585,6800
9,5.571,6900
10,5.339,7000
11,5.087,7100
12,4.970,7100
13,4.680,7100
14,4.155,7100
15,3.811,5900
16,3.737,5900
17,3.695,5900
18,3.357,5900
19,3.009,400
20,3.012,400
21,3.031,400
22,3.042,400
23,2.952,400
24,2.964,400
25,2.975,400
26,2.895,400
27,2.907,400
28,2.817,400
29,2.821,400
30,2.798,400
31,2.651,400
32,2.689,17600
33,2.825,17500
34,2.429,400
35,2.520,18500
36,2.608,18400
37,2.511,500
38,2.604,500
39,2.667,500
40,2.705,500
41,2.705,500
42,2.711,500
43,2.772,700
44,2.771,700
45,2.771,700
46,2.797,700
47,2.806,700
48,3.019,9500
49,3.540,9500
50,3.876,9600
51,3.812,9500
52,3.783,9300
53,3.310,9300
54,2.812,9200
55,2.796,9200
56,2.895,9400
57,3.063,9400
58,2.999,9300
59,3.181,9200
60,3.272,9300
61,3.354,9300
62,3.903,9500
63,3.838,9500
64,3.682,10800
65,3.921,10900
66,3.865,10800
67,3.787,10600
68,3.832,10700
69,3.934,10500
70,4.011,10800
71,4.148,10600
72,4.313,10600
73,4.516,10800
74,4.469,10800
75,4.564,10000
76,4.546,10800
77,4.872,10800
78,4.926,10700
79,5.065,10900
80,5.188,10800
81,5.638,10800
82,5.787,11500
83,5.991,11600
84,6.199,11700
85,6.361,11800
86,6.550,11800
87,6.654,11800
88,6.712,12100
89,6.975,14200
90,7.380,14300
91,7.774,14300
92,8.207,14300
93,8.694,14400
94,9.197,14500
95,9.764,14200
96,10.351,14300
97,10.910,14400
98,11.362,14400
99,11.472,14300
100,11.529,14300
101,11.553,14400
102,11.041,14300
103,10.425,14200
104,9.809,14300
105,9.205,14200
106,8.616,14200
107,8.063,14400
108,7.532,14300
109,6.991,14300
110,6.474,13900
111,6.045,13900
112,5.564,13900
113,5.138,13800
114,4.797,12900
115,4.578,12900
116,4.177,13400
117,3.947,13300
118,3.655,13800
119,3.341,14100
120,3.114,15000
121,2.995,14900
122,2.758,14900
123,2.561,14700
124,2.473,13000
125,2.149,13100
126,1.989,13200
127,1.800,13200
128,1.630,13600
129,1.466,14200
130,1.291,14000
