# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 田貫湖 (緯度35.344103, 経度138.561279, 観測者標高665.0m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,6.576,9000
1,6.751,400
2,6.968,400
3,7.063,400
4,7.114,400
5,7.118,400
6,7.057,400
7,6.373,400
8,6.195,400
9,6.195,400
10,5.984,400
11,5.749,400
12,5.482,400
13,5.138,400
14,3.936,400
15,3.623,400
16,3.438,400
17,3.438,400
18,2.794,400
19,2.694,400
20,2.526,400
21,2.232,20100
22,2.607,20200
23,2.390,20800
24,2.410,21000
25,2.282,21200
26,2.272,21500
27,2.286,21900
28,2.568,22100
29,2.468,22800
30,2.342,22800
31,2.360,22700
32,2.191,9400
33,2.195,9500
34,2.196,9900
35,2.221,13100
36,2.499,13300
37,3.014,13500
38,3.316,13600
39,3.248,13300
40,2.717,13300
41,2.574,11900
42,2.701,13200
43,2.783,13100
44,2.968,12800
45,2.967,12800
46,3.430,12900
47,3.444,12900
48,3.123,12700
49,3.337,14200
50,3.560,14200
51,3.462,13800
52,3.557,13500
53,3.644,13800
54,3.822,13600
55,4.099,11200
56,4.166,13700
57,4.179,12800
58,4.293,13200
59,4.533,13300
60,4.600,13400
61,4.839,13200
62,5.211,13100
63,5.250,13800
64,5.493,13600
65,5.707,13900
66,5.837,13900
67,6.142,13800
68,6.289,13700
69,6.358,14000
70,6.561,13900
71,6.832,14000
72,7.111,14000
73,7.376,14200
74,7.754,14300
75,8.197,14500
76,8.673,14600
77,9.109,14700
78,9.711,15300
79,10.288,15500
80,10.887,15500
81,11.234,15300
82,11.337,15200
83,11.490,15200
84,10.990,15400
85,10.476,15200
86,9.912,15200
87,9.332,15000
88,8.770,15000
89,8.249,14900
90,7.695,14800
91,7.204,14800
92,6.748,14700
93,6.263,14700
94,5.837,14600
95,5.483,15800
96,5.131,15800
97,4.696,15700
98,4.467,13500
99,4.322,13500
100,4.078,15000
101,3.968,14700
102,3.816,14500
103,3.662,14100
104,3.509,14000
105,3.252,14000
106,3.018,14000
107,2.776,13900
108,2.563,13700
109,2.406,12700
110,2.340,14600
111,2.238,14200
112,2.039,14400
113,1.870,14300
114,1.702,14700
115,1.583,14600
116,1.450,15000
117,1.313,24900
118,1.665,24500
119,1.877,24200
120,1.407,26400
121,1.390,26600
122,1.286,26700
123,1.224,25100
124,1.127,26600
125,0.963,27300
126,0.880,27600
127,0.698,24200
128,0.552,24100
129,0.356,23900
130,0.156,23700
131,0.057,200
132,0.034,200
133,0.034,200
134,-0.009,200
135,-0.009,200
136,-0.012,100
137,-0.012,100
138,-0.012,100
139,-0.012,100
140,-0.012,100
141,-0.012,100
142,-0.012,100
143,-0.012,100
144,-0.012,100
145,-0.012,100
146,-0.012,100
147,-0.012,100
148,-0.012,100
149,0.062,49100
150,-0.012,100
151,-0.012,100
152,-0.012,100
153,-0.012,100
154,-0.012,100
155,-0.012,100
156,-0.012,100
157,-0.012,100
158,-0.012,100
159,-0.012,100
160,-0.012,100
161,-0.012,100
162,-0.012,100
163,-0.012,100
164,-0.012,100
165,-0.012,100
166,-0.012,100
167,-0.012,100
168,0.719,1200
169,1.271,1200
170,2.092,1200
171,2.679,1200
172,3.032,1200
173,3.324,1200
174,3.492,1200
175,3.950,1300
176,4.444,1300
177,5.339,1300
178,6.020,1300
179,6.493,1300
180,6.482,1300
181,6.239,1400
182,6.462,1400
183,6.451,1400
184,6.028,1400
185,5.870,1400
186,5.936,1400
187,6.072,1400
188,5.905,1400
189,5.858,1400
190,5.710,1400
191,5.868,1400
192,5.782,1400
193,5.629,1400
194,5.560,1400
195,5.426,1500
196,5.832,1500
197,6.171,1500
198,6.406,1500
199,6.588,1500
200,6.801,1500
201,6.951,1500
202,7.000,1500
203,6.845,1500
204,6.843,1500
205,7.433,1600
206,7.819,1600
207,8.094,1600
208,7.960,1600
209,8.210,1700
210,8.619,1700
211,8.793,1700
212,9.025,1600
213,9.579,1600
214,9.797,1600
215,9.788,1600
216,9.800,1700
217,9.884,1700
218,9.860,1700
219,9.645,1700
220,9.182,1700
221,9.165,1700
222,8.992,2000
223,9.401,2000
224,9.841,2900
225,10.426,2900
226,11.008,2900
227,11.479,2800
228,11.856,2800
229,12.268,2800
230,12.662,2800
231,12.840,2800
232,13.151,2800
233,13.347,2800
234,13.227,2800
235,13.210,2800
236,13.170,2800
237,13.201,2800
238,13.164,2800
239,12.919,2800
240,12.424,2800
241,11.980,2800
242,12.054,2700
243,12.022,2700
244,11.550,2700
245,11.092,2700
246,11.364,2600
247,12.097,2600
248,12.296,2600
249,12.448,2600
250,12.853,2500
251,13.402,2500
252,13.555,2500
253,13.830,2500
254,14.017,2500
255,14.143,2500
256,14.252,2500
257,14.296,2500
258,14.681,2400
259,15.131,2400
260,15.246,2400
261,15.104,2400
262,15.135,2400
263,15.277,2400
264,14.841,2300
265,14.948,2200
266,14.815,2200
267,14.883,2100
268,14.796,2100
269,14.378,2100
270,14.639,2000
271,15.042,2000
272,15.156,2000
273,14.934,1900
274,15.134,1900
275,14.912,1900
276,14.626,1900
277,14.274,1800
278,14.254,1800
279,13.967,1800
280,13.414,1800
281,13.930,1200
282,14.346,1200
283,15.023,1200
284,15.749,1200
285,15.985,1200
286,16.155,1200
287,16.134,1200
288,15.709,1100
289,15.867,1100
290,15.740,1100
291,15.448,1100
292,15.017,1100
293,14.303,1100
294,14.492,1000
295,14.780,1000
296,14.942,1000
297,15.205,800
298,15.502,800
299,15.529,800
300,15.473,800
301,15.313,800
302,15.073,800
303,14.760,800
304,14.084,800
305,13.592,800
306,12.615,800
307,12.816,700
308,12.761,700
309,12.654,700
310,12.481,700
311,12.279,700
312,12.030,700
313,11.800,700
314,11.556,700
315,11.274,700
316,10.939,700
317,10.475,700
318,10.025,600
319,10.585,600
320,10.559,600
321,10.924,600
322,11.036,600
323,11.071,600
324,11.103,600
325,11.000,600
326,10.856,600
327,10.561,600
328,10.277,600
329,9.983,600
330,9.851,600
331,9.459,600
332,9.025,600
333,9.096,5300
334,9.480,5400
335,9.426,5500
336,9.308,5600
337,9.220,5500
338,8.661,5500
339,8.631,7700
340,8.872,7700
341,8.855,7800
342,8.889,7800
343,8.937,7800
344,8.835,7900
345,8.982,8000
346,8.793,8000
347,8.922,8100
348,8.986,8100
349,9.001,8100
350,8.882,8100
351,8.716,8100
352,8.361,7900
353,7.793,7700
354,7.814,8700
355,7.957,8800
356,7.929,8900
357,7.647,8900
358,7.332,8800
359,6.706,9000
