# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 爪木崎 (緯度34.659512, 経度138.986153, 観測者標高13.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,2.873,22000
1,3.188,22300
2,3.383,22200
3,3.374,22700
4,3.258,22600
5,3.151,22600
6,3.178,22600
7,3.120,22600
8,3.156,22500
9,2.871,22700
10,2.644,23000
11,2.560,21600
12,2.561,21600
13,2.307,21800
14,1.996,21900
15,1.797,21100
16,1.661,16200
17,1.540,16200
18,1.439,16200
19,1.371,16100
20,1.321,16000
21,1.321,15800
22,1.124,15800
23,1.031,16100
24,0.831,16200
25,0.271,29900
26,0.249,29500
27,-0.001,28700
28,-0.059,28700
29,-0.111,14200
30,-0.111,14200
31,-0.111,14200
32,-0.111,14200
33,-0.111,14200
34,-0.111,14200
35,-0.111,14200
36,-0.111,14200
37,-0.111,14200
38,-0.111,14200
39,-0.111,14200
40,-0.111,14200
41,-0.111,14200
42,-0.111,14200
43,-0.111,14200
44,-0.111,14200
45,-0.111,14200
46,-0.111,14200
47,-0.111,14200
48,-0.111,14200
49,-0.111,14200
50,-0.111,14200
51,-0.111,14200
52,-0.111,14200
53,-0.111,14200
54,-0.111,14200
55,-0.111,14200
56,-0.111,14200
57,-0.111,14200
58,-0.111,14200
59,-0.111,14200
60,-0.111,14200
61,-0.111,14200
62,-0.111,14200
63,-0.111,14200
64,-0.111,14200
65,-0.111,14200
66,-0.069,37800
67,-0.052,38500
68,-0.035,38800
69,0.017,39300
70,0.067,39800
71,0.132,40200
72,0.230,39000
73,0.386,39100
74,0.562,38500
75,0.647,38200
76,0.742,37400
77,0.704,38500
78,0.869,38500
79,0.965,38100
80,0.870,39100
81,0.687,39500
82,0.521,39500
83,0.269,41700
84,0.175,40700
85,-0.004,41100
86,-0.111,40200
87,-0.111,14200
88,-0.111,14200
89,-0.111,14200
90,-0.111,14200
91,-0.111,14200
92,-0.111,14200
93,-0.111,14200
94,-0.111,14200
