# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 天城高原 (緯度34.871659, 経度139.023935, 観測者標高1054.7m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,0.299,40100
1,-0.040,38800
2,-0.209,37900
3,-0.066,45600
4,-0.148,44700
5,-0.262,35400
6,-0.288,36000
7,-0.280,36800
8,-0.338,36800
9,-0.434,36700
10,-0.523,35900
11,-0.587,35700
12,-0.779,35700
13,-0.756,1100
14,-0.550,1100
15,-0.410,1100
16,-0.249,1100
17,0.032,1100
18,0.202,1100
19,0.393,1100
20,0.641,1100
21,0.797,1100
22,0.920,1100
23,1.115,1100
24,1.277,1100
25,1.470,1100
26,1.780,1100
27,2.092,1100
28,2.503,1100
29,2.708,1100
30,3.125,900
31,3.490,900
32,3.821,900
33,3.935,900
34,4.235,1100
35,4.503,1100
36,5.166,1000
37,5.544,1000
38,5.951,1000
39,6.203,1000
40,6.313,1000
41,6.688,1100
42,7.053,1100
43,7.134,1100
44,7.233,1100
45,7.283,1100
46,7.214,1100
47,7.168,1100
48,7.116,1100
49,7.068,1100
50,6.934,1100
51,6.910,1100
52,6.804,1100
53,6.835,1100
54,6.625,1100
55,6.464,1100
56,6.314,1100
57,6.103,1100
58,5.933,1100
59,5.720,1100
60,5.492,1100
61,5.299,1200
62,5.162,1200
63,5.034,1200
64,4.780,1200
65,4.607,1200
66,4.161,1200
67,3.681,1200
68,3.047,1200
69,2.684,1200
70,2.158,1100
71,1.949,1100
72,1.521,1100
73,1.194,1100
74,0.851,1100
75,0.141,1200
76,-0.045,1200
77,-0.278,1200
78,-0.540,1200
79,-0.808,100
80,-0.808,100
81,-0.808,100
82,-0.808,100
83,-0.505,100
84,-0.505,100
85,-0.505,100
86,-0.505,100
87,-0.195,100
88,-0.195,100
89,-0.195,100
90,-0.195,100
91,-0.195,100
92,0.126,100
93,0.126,100
94,0.126,100
95,0.126,100
96,0.464,100
97,0.464,100
98,0.464,100
99,0.464,100
100,0.464,100
101,0.802,100
102,0.802,100
103,0.802,100
104,0.802,100
105,1.134,100
106,1.134,100
107,1.234,200
108,1.234,200
109,1.514,200
110,1.514,200
111,1.514,200
112,1.929,200
113,1.929,200
114,2.210,200
115,2.210,200
116,2.210,200
117,2.510,200
118,2.510,200
119,2.784,200
120,2.784,200
121,2.784,200
122,3.030,200
123,3.030,200
124,3.196,200
125,3.196,200
126,3.122,200
127,3.227,200
128,3.227,200
129,3.227,200
130,3.339,200
131,3.604,100
132,3.604,100
133,3.604,100
134,3.604,100
135,3.604,100
136,3.604,100
137,4.112,100
138,4.112,100
139,4.112,100
140,4.112,100
141,4.112,100
142,4.112,100
143,4.306,100
144,4.608,100
145,4.608,100
146,4.608,100
147,4.608,100
148,4.693,100
149,4.773,900
150,5.190,900
151,5.621,900
152,5.994,900
153,6.358,900
154,6.694,900
155,7.157,900
156,7.310,900
157,7.430,900
158,7.396,900
159,7.189,900
160,7.152,1000
161,7.135,1000
162,7.106,1000
163,6.986,1000
164,6.644,1000
165,6.646,1000
166,6.883,1000
167,7.185,1000
168,7.198,1000
169,7.202,1000
170,7.161,1000
171,7.222,1000
172,7.111,1000
173,7.000,1000
174,6.836,1000
175,6.662,1000
176,6.485,1100
177,6.131,1200
178,6.461,1200
179,6.736,1200
180,6.765,1200
181,6.815,1200
182,7.079,1200
183,7.396,1200
184,7.789,1200
185,8.284,1200
186,8.458,1200
187,8.542,1200
188,8.249,1200
189,8.472,1300
190,8.913,1300
191,9.964,1300
192,10.419,1300
193,10.315,1300
194,10.306,1300
195,10.083,1300
196,9.511,1300
197,8.855,1300
198,8.482,1300
199,8.133,1300
200,8.103,1200
201,8.285,1200
202,8.571,1200
203,8.659,1200
204,8.722,1200
205,8.713,1200
206,8.722,1200
207,8.755,1200
208,8.697,1200
209,8.632,1200
210,8.641,1200
211,8.984,1300
212,9.588,1300
213,9.976,1300
214,10.581,1300
215,10.790,1300
216,11.152,1300
217,11.166,1300
218,11.097,1300
219,11.105,1300
220,11.118,1300
221,11.103,1300
222,11.053,1300
223,11.007,1300
224,10.966,1300
225,10.838,1300
226,10.696,1300
227,10.564,1300
228,10.432,1300
229,10.189,1300
230,9.993,1300
231,9.807,1300
232,9.566,1300
233,9.177,1300
234,8.958,1300
235,8.696,1300
236,8.022,1300
237,8.107,1800
238,8.270,1800
239,8.379,1800
240,8.383,1900
241,8.267,1800
242,7.971,1900
243,8.276,2300
244,8.344,2300
245,8.569,2300
246,8.272,2300
247,8.177,2400
248,8.131,2400
249,7.823,2400
250,7.340,2400
251,7.059,2500
252,6.610,2500
253,6.040,2500
254,6.006,2600
255,5.793,2600
256,5.418,2600
257,4.872,2600
258,4.638,2700
259,4.635,1300
260,4.584,1300
261,4.433,1300
262,4.283,1300
263,4.078,1200
264,3.901,1300
265,3.682,1200
266,3.306,1300
267,3.097,1300
268,2.798,1300
269,2.506,1300
270,2.089,1300
271,1.674,1300
272,1.107,1300
273,0.964,400
274,0.915,400
275,0.852,400
276,0.746,400
277,0.676,500
278,0.675,500
279,0.643,500
280,0.523,500
281,0.381,500
282,0.246,500
283,0.152,500
284,0.023,500
285,-0.135,500
286,-0.304,500
287,-0.458,700
288,-0.561,300
289,-0.647,300
290,-0.708,300
291,-0.792,300
292,-0.792,300
293,-0.610,18700
294,-0.548,18700
295,-0.486,18800
296,-0.520,18700
297,-0.630,19100
298,-0.439,19100
299,-0.361,19200
300,-0.668,19400
301,-0.671,19800
302,-0.618,19700
303,-0.697,19600
304,-0.811,21000
305,-0.847,21500
306,-1.011,49700
307,-0.767,50000
308,-0.786,50000
309,-0.968,49400
310,-1.089,49700
311,-1.168,49800
312,-1.351,50000
313,-1.194,49800
314,-1.239,50000
315,-1.259,50000
316,-1.335,50000
317,-1.299,50000
318,-1.272,50000
319,-1.212,50000
320,-1.162,50000
321,-1.089,50000
322,-1.017,49900
323,-0.938,50000
324,-0.876,50000
325,-0.795,50000
326,-0.703,50000
327,-0.607,44300
328,-0.415,44100
329,-0.248,44200
330,-0.135,45600
331,-0.045,44100
332,0.097,45900
