# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 弓ヶ浜 (緯度34.632796, 経度138.888757, 観測者標高0.4m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,5.920,1300
1,6.170,1300
2,5.899,1300
3,5.911,1300
4,5.654,1300
5,5.518,1300
6,5.666,1300
7,5.761,1300
8,5.176,1300
9,4.618,1200
10,4.644,1200
11,4.739,1200
12,4.441,1200
13,4.275,1200
14,4.417,1700
15,4.454,1200
16,4.261,1300
17,4.529,1300
18,4.481,1200
19,4.848,1200
20,5.046,1200
21,4.804,1200
22,4.534,1200
23,4.605,1300
24,4.523,1300
25,4.518,1200
26,4.617,1200
27,4.527,1200
28,4.748,1200
29,5.304,1200
30,5.241,1200
31,5.254,1200
32,5.202,1200
33,4.768,1200
34,4.857,1300
35,5.117,1300
36,5.061,1200
37,5.230,1200
38,5.256,1200
39,4.997,1200
40,4.942,1100
41,4.898,1100
42,4.862,1100
43,4.814,1100
44,4.749,1100
45,4.566,1100
46,4.603,1100
47,4.464,1100
48,4.853,1400
49,5.125,1400
50,5.374,1400
51,6.013,1400
52,6.487,1400
53,6.505,1400
54,6.311,1400
55,5.701,1400
56,5.523,1400
57,5.678,1400
58,5.537,1400
59,5.231,1400
60,4.931,1400
61,4.905,1400
62,4.754,1400
63,4.557,1400
64,4.231,1400
65,4.383,1400
66,4.275,1200
67,4.136,1200
68,3.953,1400
69,4.214,1300
70,4.375,1300
71,4.392,1300
72,4.386,1300
73,4.135,1300
74,3.692,1300
75,3.971,1200
76,3.786,1200
77,3.837,700
78,4.105,700
79,4.131,700
80,3.989,1200
81,4.249,1200
82,4.201,1200
83,3.699,1100
84,3.768,600
85,3.914,600
86,3.642,600
87,3.521,600
88,3.670,600
89,3.859,600
90,4.042,600
91,3.964,600
92,3.539,600
93,2.909,600
94,2.375,1200
95,2.420,1200
96,2.026,1200
97,1.324,1300
98,1.135,1400
99,1.630,1400
100,1.488,1400
101,0.928,1400
102,0.701,1500
103,0.576,1500
