# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 寸又峡 (緯度35.174699, 経度138.118059, 観測者標高547.3m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,15.581,600
1,15.671,2100
2,15.973,2100
3,16.390,2100
4,16.764,2100
5,17.163,2100
6,17.679,2100
7,17.802,2100
8,17.556,2100
9,18.010,2100
10,18.275,2200
11,18.450,2200
12,18.579,2200
13,18.384,2200
14,18.664,2300
15,18.800,2300
16,18.541,2400
17,18.476,3500
18,18.708,3500
19,18.505,3600
20,19.113,3600
21,18.946,3600
22,18.743,3500
23,18.580,3500
24,18.006,3500
25,17.291,3400
26,17.038,3400
27,16.565,3400
28,15.780,3400
29,15.093,3400
30,15.271,3300
31,14.932,3300
32,14.340,3200
33,14.619,3200
34,14.681,3200
35,14.586,3200
36,14.909,3200
37,14.921,3100
38,15.523,3100
39,15.247,3100
40,15.290,3100
41,14.622,3100
42,15.008,3100
43,15.290,2900
44,15.120,3100
45,14.657,3000
46,14.135,2600
47,13.744,3300
48,13.516,2500
49,12.841,2500
50,12.570,3300
51,12.295,2300
52,12.485,300
53,12.668,300
54,13.792,400
55,13.792,400
56,14.730,400
57,15.027,400
58,15.616,400
59,15.616,400
60,16.181,400
61,16.402,400
62,16.832,400
63,16.832,400
64,17.031,400
65,16.556,400
66,15.869,400
67,15.076,400
68,14.021,400
69,14.021,400
70,12.812,400
71,11.552,400
72,10.878,500
73,10.784,500
74,10.837,500
75,10.511,500
76,10.014,500
77,8.678,500
78,7.595,500
79,7.067,4400
80,7.483,4400
81,7.834,4400
82,8.241,4400
83,8.587,4400
84,8.811,4400
85,9.285,4400
86,9.394,4400
87,8.717,4400
88,8.510,4300
89,8.171,4300
90,7.669,4300
91,7.074,4300
92,6.409,4200
93,5.724,4400
94,5.300,4400
95,4.958,4400
96,5.141,9100
97,5.079,9200
98,5.180,9300
99,5.903,1100
100,6.265,1100
101,6.671,1100
102,6.734,1100
103,7.153,1100
104,7.322,1100
105,7.440,1100
106,7.542,1100
107,7.483,1100
108,7.435,1100
109,7.424,1000
110,8.054,1000
111,8.561,1000
112,9.031,1000
113,9.325,1000
114,9.553,1000
115,9.717,1000
116,9.874,1000
117,10.150,1000
118,10.435,1000
119,10.662,1000
120,10.922,1000
121,11.107,1000
122,11.333,1000
123,11.684,1000
124,12.072,1000
125,12.338,1000
126,12.688,1000
127,13.082,1000
128,13.519,1000
129,13.891,1000
130,14.266,1000
131,14.582,1000
132,14.764,1000
133,14.793,1000
134,14.859,1000
135,14.895,1000
136,15.514,300
137,15.514,300
138,15.623,300
139,17.547,100
140,17.547,100
141,18.322,300
142,18.227,300
143,19.647,300
144,19.189,300
145,19.189,300
146,20.228,300
147,22.244,100
148,22.244,100
149,22.244,100
150,22.244,100
151,22.244,100
152,22.244,100
153,21.920,100
154,21.920,100
155,21.920,100
156,25.262,100
157,25.262,100
158,25.126,100
159,25.126,100
160,26.019,200
161,26.128,400
162,27.863,200
163,27.863,200
164,28.660,200
165,30.739,200
166,30.739,200
167,32.545,200
168,32.545,200
169,33.796,200
170,33.796,200
171,33.796,200
172,34.613,200
173,34.613,200
174,35.059,200
175,35.059,200
176,35.183,200
177,35.183,200
178,35.059,200
179,35.059,200
180,35.059,200
181,34.891,200
182,34.891,200
183,34.737,200
184,34.737,200
185,34.543,200
186,34.543,200
187,34.728,300
188,35.436,300
189,35.436,300
190,35.738,300
191,35.845,300
192,35.845,300
193,35.132,300
194,35.053,300
195,35.053,300
196,34.941,300
197,34.771,300
198,33.859,300
199,33.693,300
200,33.520,300
201,33.520,300
202,33.337,300
203,32.555,300
204,32.329,300
205,32.047,300
206,31.093,300
207,30.847,200
208,30.668,300
209,30.203,300
210,29.087,200
211,28.669,300
212,28.499,200
213,27.117,1300
214,27.034,1300
215,26.461,1300
216,26.075,1300
217,25.942,1200
218,26.106,1200
219,26.429,1200
220,26.777,1200
221,27.077,1200
222,27.144,1200
223,27.212,1200
224,27.139,1200
225,27.352,1100
226,27.922,1100
227,27.951,1100
228,28.471,1100
229,28.946,1100
230,28.964,1100
231,28.877,1100
232,28.644,1100
233,28.219,1000
234,28.357,1000
235,28.700,1000
236,29.596,1000
237,30.037,1000
238,30.320,1000
239,30.457,1000
240,30.528,1000
241,30.477,1000
242,30.700,900
243,31.114,900
244,31.552,900
245,31.905,900
246,31.973,900
247,31.758,900
248,31.542,900
249,31.787,800
250,32.220,800
251,32.305,800
252,32.489,800
253,32.159,700
254,32.625,700
255,32.838,400
256,33.104,400
257,33.052,400
258,33.289,400
259,33.413,600
260,33.723,600
261,33.869,600
262,33.998,600
263,34.681,600
264,34.776,600
265,34.845,600
266,34.865,600
267,34.832,600
268,34.673,600
269,34.587,600
270,34.406,600
271,33.941,600
272,33.639,600
273,33.289,600
274,32.565,500
275,32.548,500
276,32.532,500
277,32.527,500
278,32.592,500
279,32.726,500
280,32.019,500
281,32.331,500
282,33.097,500
283,33.386,500
284,33.614,500
285,33.214,500
286,33.360,500
287,33.358,500
288,32.939,500
289,32.893,500
290,32.725,500
291,32.287,500
292,32.071,500
293,31.674,500
294,31.474,500
295,31.078,500
296,30.810,500
297,30.452,500
298,30.174,500
299,29.862,500
300,29.586,500
301,29.244,500
302,28.797,500
303,28.421,500
304,28.130,500
305,27.519,500
306,27.225,500
307,26.678,500
308,26.615,400
309,26.495,500
310,26.785,500
311,26.337,500
312,26.130,500
313,25.824,500
314,25.500,500
315,25.390,400
316,25.254,500
317,25.015,500
318,24.886,500
319,24.591,500
320,24.591,500
321,24.464,500
322,24.121,500
323,24.502,500
324,24.235,500
325,23.933,500
326,24.137,500
327,23.925,500
328,23.709,500
329,23.804,500
330,23.639,500
331,23.557,500
332,23.453,500
333,23.404,500
334,23.246,500
335,23.078,500
336,22.757,500
337,22.518,500
338,22.607,500
339,22.372,500
340,22.375,500
341,22.091,500
342,21.652,500
343,21.664,500
344,21.169,500
345,20.660,500
346,20.642,500
347,20.173,500
348,19.739,500
349,19.322,500
350,18.911,500
351,18.503,500
352,18.088,500
353,17.665,500
354,17.185,500
355,16.729,600
356,16.687,600
357,16.416,600
358,16.250,600
359,16.085,600
