# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 伊良湖岬 (緯度34.583598, 経度137.02043, 観測者標高4.3m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-0.062,7900
1,-0.062,7900
2,-0.062,7900
3,-0.062,7900
4,-0.060,16000
5,-0.042,15900
6,0.038,16300
7,0.019,16400
8,0.014,16300
9,0.003,15900
10,0.024,16200
11,0.003,15300
12,0.033,25900
13,0.075,26000
14,0.063,25600
15,0.165,27000
16,0.248,27000
17,0.270,29700
18,0.395,30300
19,0.345,30400
20,0.195,28300
21,0.380,28100
22,0.370,28400
23,0.425,28300
24,0.456,28400
25,0.576,28200
26,0.548,28400
27,0.476,28900
28,0.371,35300
29,0.539,34800
30,0.518,36600
31,0.345,34700
32,0.396,37000
33,0.369,37300
34,0.344,37400
35,0.416,37700
36,0.465,36200
37,0.485,36600
38,0.453,37900
39,0.362,37900
40,0.406,50000
41,0.346,47000
42,0.340,49600
43,0.429,49100
44,0.368,49500
45,0.368,49600
46,0.324,47700
47,0.477,700
48,0.687,700
49,0.857,700
50,0.912,700
51,0.956,700
52,0.970,700
53,0.977,700
54,1.082,600
55,1.151,600
56,1.163,600
57,1.231,600
58,1.309,600
59,1.384,600
60,1.432,600
61,1.587,1000
62,2.300,1000
63,2.549,1000
64,2.684,1000
65,2.754,900
66,3.016,900
67,2.970,900
68,3.110,900
69,3.252,900
70,3.499,900
71,3.834,800
72,4.352,800
73,4.904,800
74,5.549,800
75,5.792,800
76,6.598,800
77,7.157,800
78,7.756,800
79,8.034,800
80,8.513,800
81,8.935,800
82,9.006,800
83,9.008,800
84,8.963,800
85,8.580,800
86,8.448,900
87,8.490,900
88,8.304,900
89,8.032,900
90,7.785,700
91,7.746,700
92,7.550,700
93,7.350,700
94,6.633,700
95,5.960,700
96,5.748,700
97,5.378,600
98,5.379,500
99,5.515,500
100,5.434,500
101,5.071,500
102,4.868,400
103,5.248,400
104,5.569,400
105,5.458,400
106,5.438,400
107,5.082,400
108,4.531,400
109,4.599,400
110,4.072,400
111,3.556,400
112,3.107,300
113,3.061,300
114,3.061,300
115,3.259,300
116,3.166,300
117,3.166,300
118,3.354,300
119,3.354,300
120,3.212,300
121,3.212,300
122,3.109,300
123,2.857,300
124,2.857,300
125,2.579,300
126,2.579,300
127,2.341,300
128,2.255,300
129,2.276,200
130,2.276,200
131,2.264,200
132,2.427,200
133,2.427,200
134,2.410,200
135,2.587,200
136,2.587,200
137,2.587,200
138,2.753,200
139,2.753,200
140,2.753,200
141,3.039,200
142,3.039,200
143,3.067,200
144,3.067,200
145,3.881,200
146,4.095,200
147,4.095,200
148,4.095,200
149,5.784,200
150,5.784,200
151,5.784,200
152,6.698,200
153,6.698,200
154,7.795,200
155,7.795,200
156,7.795,200
157,8.280,200
158,8.280,200
159,8.429,200
160,8.429,200
161,8.972,200
162,8.972,200
163,8.972,200
164,9.561,200
165,9.561,200
166,9.717,200
167,9.717,200
168,9.912,200
169,9.912,200
170,9.912,200
171,9.987,200
172,9.987,200
173,9.998,200
174,9.998,200
175,9.937,200
176,9.937,200
177,9.937,200
178,9.759,200
179,9.759,200
180,9.497,200
181,9.497,200
182,9.405,200
183,9.405,200
184,9.539,200
185,9.539,200
186,9.539,200
187,9.942,200
188,9.942,200
189,10.624,200
190,10.624,200
191,11.716,200
192,11.716,200
193,11.716,200
194,12.849,200
195,12.491,200
196,13.533,200
197,13.533,200
198,14.525,200
199,14.525,200
200,14.525,200
201,15.381,200
202,14.981,200
203,15.498,200
204,15.498,200
205,15.782,200
206,15.782,200
207,14.938,200
208,14.967,200
209,14.967,200
210,14.967,200
211,14.890,200
212,14.342,300
213,14.286,200
214,14.286,200
215,14.286,200
216,13.933,200
217,13.933,200
218,13.933,200
219,14.616,200
220,13.749,200
221,13.749,200
222,14.122,200
223,13.186,200
224,13.186,200
225,13.395,200
226,12.388,200
227,12.388,200
228,12.478,200
229,11.328,200
