# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 茶臼山高原 (緯度35.227569, 経度137.655597, 観測者標高1412.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,0.646,18300
1,0.434,18800
2,0.223,19000
3,-0.058,33900
4,-0.077,40400
5,0.141,40500
6,0.394,40600
7,0.486,41400
8,0.666,42000
9,0.780,43300
10,0.819,43000
11,0.865,44100
12,0.980,13000
13,0.947,13000
14,0.948,45700
15,0.848,12900
16,0.734,49000
17,0.754,49000
18,0.813,49800
19,0.528,50000
20,0.370,11600
21,0.148,11500
22,0.303,11300
23,0.249,11300
24,0.063,11500
25,-0.018,11600
26,-0.358,11800
27,-0.302,17500
28,-0.615,17600
29,-0.604,17700
30,-0.647,18100
31,-0.710,17200
32,-0.702,17000
33,-0.705,17100
34,-0.862,15200
35,-0.903,49400
36,-0.777,49900
37,-0.703,48100
38,-0.628,47100
39,-0.463,49700
40,-0.320,46800
41,-0.028,49500
42,0.131,47600
43,0.142,46900
44,0.220,45100
45,0.356,43500
46,0.446,42200
47,0.334,41200
48,0.376,39100
49,0.526,47400
50,0.743,47800
51,0.805,47800
52,0.877,47300
53,1.028,47200
54,0.881,44300
55,0.785,48400
56,0.793,48900
57,0.842,49200
58,0.999,49200
59,1.357,49200
60,1.369,48600
61,1.239,48500
62,1.451,47700
63,1.412,48700
64,1.476,49100
65,1.080,48000
66,0.926,48700
67,1.265,49100
68,1.367,48700
69,1.157,49200
70,1.287,39200
71,1.198,45300
72,1.395,40700
73,1.384,41000
74,1.276,40600
75,1.122,34800
76,1.218,34000
77,1.286,33800
78,1.245,33200
79,1.151,33100
80,0.957,33000
81,1.044,33000
82,1.024,32100
83,1.050,31600
84,0.822,32700
85,0.725,46800
86,0.927,46100
87,0.636,46700
88,0.984,35100
89,0.885,34800
90,0.840,34600
91,0.869,34400
92,0.802,34500
93,0.911,34700
94,0.698,34300
95,0.728,34000
96,0.816,34300
97,0.799,32900
98,0.786,33000
99,0.737,32900
100,0.648,32500
101,0.557,32400
102,0.567,32200
103,0.386,32100
104,0.248,32200
105,0.152,32600
106,0.277,33500
107,0.123,33500
108,0.173,33800
109,0.146,34200
110,0.111,34100
111,0.149,34000
112,0.072,33900
113,-0.164,33100
114,-0.107,35300
115,-0.252,32600
116,-0.279,31900
117,-0.088,29400
118,-0.219,31100
119,-0.250,31200
120,-0.348,31300
121,-0.481,31400
122,-0.455,31600
