# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: つぐ高原グリーンパーク (緯度35.20035, 経度137.604806, 観測者標高867.8m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,7.288,1000
1,7.227,1000
2,7.121,1000
3,7.073,1000
4,6.706,1000
5,6.174,1000
6,5.699,1000
7,5.170,1000
8,5.093,1000
9,4.917,1000
10,4.864,600
11,5.200,600
12,5.751,600
13,6.002,600
14,6.252,600
15,6.556,600
16,6.767,600
17,6.889,300
18,7.222,300
19,6.904,300
20,7.160,300
21,8.095,200
22,8.095,200
23,9.600,200
24,9.112,200
25,9.945,200
26,9.945,200
27,9.945,200
28,10.497,200
29,9.349,200
30,9.349,200
31,9.639,200
32,9.712,300
33,9.964,300
34,9.964,300
35,10.441,300
36,10.441,300
37,10.711,300
38,10.251,1300
39,10.804,1300
40,11.335,1300
41,11.755,1300
42,12.027,1300
43,12.254,1300
44,12.422,1300
45,12.512,1300
46,12.324,1300
47,12.047,1300
48,11.996,1300
49,11.935,1300
50,11.871,1300
51,11.575,1300
52,11.150,1300
53,10.498,1300
54,10.110,1300
55,9.448,1300
56,9.432,700
57,9.636,700
58,9.932,700
59,10.005,700
60,9.912,700
61,9.658,700
62,9.747,700
63,9.645,700
64,9.280,700
65,8.777,700
66,7.566,1400
67,7.893,1400
68,8.063,1400
69,8.511,1100
70,9.307,1100
71,9.541,1100
72,9.760,1100
73,9.878,1100
74,10.177,1100
75,10.473,1100
76,10.352,1100
77,10.606,1200
78,11.078,1200
79,11.036,1200
80,10.824,1200
81,10.702,1100
82,10.687,1100
83,11.026,1100
84,11.260,1100
85,10.878,1100
86,10.578,1100
87,10.353,1100
88,10.186,1200
89,10.015,1200
90,9.927,1100
91,9.826,1200
92,9.581,1200
93,9.376,1200
94,9.377,1100
95,9.226,1100
96,8.604,1100
97,8.083,1100
98,7.467,1100
99,7.002,300
100,7.128,300
101,7.128,300
102,7.235,300
103,6.998,300
104,6.998,300
105,6.429,300
106,6.165,1500
107,6.400,1600
108,6.332,1600
109,6.012,1600
110,5.812,1600
111,5.466,1600
112,5.297,1700
113,5.108,1700
114,4.749,1800
115,4.836,1700
116,4.990,1800
117,5.284,1500
118,5.627,1500
119,6.004,1500
120,6.617,1500
121,6.912,1500
122,6.408,1400
123,6.434,1200
124,6.863,1200
125,7.113,1200
126,6.694,1200
127,6.237,1200
128,6.018,1200
129,6.086,1400
130,6.220,1400
131,6.131,1400
132,5.830,1300
133,5.570,1300
134,5.171,1200
135,5.728,1200
136,5.958,1200
137,5.881,1100
138,5.531,1100
139,4.831,1100
140,4.483,800
141,4.631,800
142,4.515,800
143,4.135,700
144,3.975,700
145,4.448,1100
146,4.942,1100
147,5.188,1100
148,4.695,1100
149,4.671,400
150,5.471,400
151,5.841,400
152,6.143,400
153,6.516,400
154,6.778,400
155,7.639,400
156,8.139,300
157,8.255,300
158,8.981,400
159,9.478,300
160,9.754,400
161,10.590,400
162,10.590,400
163,10.969,400
164,11.930,400
165,12.344,400
166,12.643,400
167,12.825,400
168,12.912,400
169,13.085,400
170,13.085,400
171,12.792,400
172,13.349,100
173,13.349,100
174,13.349,100
175,13.349,100
176,13.349,100
177,15.668,100
178,15.668,100
179,15.668,100
180,15.668,100
181,17.734,100
182,17.734,100
183,17.734,100
184,17.734,100
185,17.734,100
186,19.085,100
187,19.085,100
188,19.085,100
189,19.085,100
190,20.001,100
191,20.001,100
192,20.001,100
193,20.001,100
194,20.001,100
195,20.661,100
196,18.061,100
197,18.061,100
198,18.061,100
199,18.061,100
200,19.208,100
201,19.208,100
202,19.208,100
203,19.208,100
204,20.887,100
205,20.887,100
206,20.887,100
207,20.887,100
208,20.334,100
209,22.391,100
210,22.391,100
211,22.391,100
212,22.391,100
213,22.391,100
214,22.391,100
215,23.879,100
216,23.879,100
217,22.558,100
218,22.558,100
219,22.558,100
220,22.748,100
221,22.748,100
222,22.748,100
223,22.748,100
224,21.226,100
225,21.226,100
226,21.400,100
227,21.400,100
228,21.400,100
229,21.400,100
230,20.912,100
231,20.912,100
232,20.912,100
233,22.401,100
234,22.401,100
235,22.401,100
236,22.126,100
237,22.126,100
238,22.126,100
239,22.126,100
240,22.126,100
241,22.509,100
242,22.509,100
243,22.509,100
244,22.509,100
245,22.509,100
246,20.844,200
247,20.379,200
248,20.379,200
249,20.344,100
250,20.344,100
251,19.752,300
252,19.972,300
253,19.788,300
254,19.788,300
255,19.631,400
256,19.631,400
257,19.977,400
258,20.267,400
259,20.660,400
260,20.574,400
261,20.240,400
262,19.863,400
263,19.471,400
264,19.471,400
265,19.301,300
266,19.301,300
267,18.979,300
268,18.442,300
269,18.442,300
270,17.489,300
271,16.840,300
272,16.840,300
273,16.444,300
274,16.499,200
275,16.499,200
276,17.066,200
277,17.066,200
278,17.066,200
279,17.348,200
280,17.348,200
281,16.422,200
282,16.422,200
283,16.393,200
284,16.393,200
285,16.317,200
286,16.317,200
287,16.317,200
288,16.272,200
289,16.272,200
290,15.205,200
291,15.205,200
292,15.205,200
293,14.646,200
294,14.646,200
295,13.871,200
296,13.006,200
297,12.270,200
298,12.270,200
299,12.270,200
300,11.091,200
301,11.091,200
302,11.091,200
303,10.644,300
304,10.497,200
305,9.923,300
306,9.254,200
307,9.254,200
308,8.453,300
309,8.206,300
310,7.385,300
311,7.032,300
312,6.176,300
313,5.857,300
314,5.452,300
315,5.198,300
316,4.791,300
317,4.443,700
318,4.897,700
319,5.110,700
320,5.126,700
321,5.050,700
322,4.604,700
323,4.804,300
324,4.804,300
325,4.975,300
326,5.376,300
327,5.482,300
328,5.906,300
329,5.900,300
330,5.900,300
331,6.199,300
332,6.116,300
333,6.116,300
334,6.263,300
335,6.263,300
336,5.925,300
337,5.416,300
338,5.764,300
339,5.098,300
340,4.252,300
341,4.252,300
342,3.368,300
343,3.368,300
344,2.289,300
345,2.107,1500
346,2.124,1200
347,2.392,1200
348,2.905,1200
349,3.205,1200
350,3.419,1100
351,4.314,1100
352,5.030,1100
353,5.249,1100
354,4.882,1100
355,5.698,1000
356,6.251,1000
357,6.658,1000
358,7.000,1000
359,7.186,1000
