# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: スターフォーレスト御園 (緯度35.118029, 経度137.718911, 観測者標高621.3m [DEMタイルから自動取得])
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,8.429,1000
1,8.044,1000
2,7.613,1200
3,7.903,1200
4,8.194,1200
5,8.301,1200
6,8.336,1200
7,7.927,1200
8,7.679,1200
9,7.593,1100
10,8.125,1100
11,8.155,1100
12,8.420,1100
13,8.238,1100
14,8.190,1200
15,8.606,1200
16,8.801,1200
17,8.648,1200
18,8.466,1100
19,9.221,1100
20,9.860,1100
21,10.078,1100
22,9.934,1100
23,9.804,1100
24,10.062,1100
25,10.251,1100
26,10.243,1200
27,10.657,1200
28,10.509,1200
29,10.050,1200
30,10.039,1200
31,10.186,1200
32,10.569,1000
33,10.980,1000
34,11.389,1000
35,11.510,1000
36,11.541,1000
37,10.888,1000
38,11.126,1100
39,11.986,1100
40,12.207,1100
41,11.908,1100
42,11.388,1100
43,10.661,1100
44,10.433,1000
45,10.504,1000
46,10.114,1000
47,10.556,1300
48,11.135,1300
49,11.453,1300
50,11.525,1300
51,11.649,1300
52,11.543,1300
53,11.879,1400
54,12.438,1400
55,12.402,1400
56,12.326,1400
57,12.192,1400
58,12.044,1400
59,11.670,1400
60,11.869,1100
61,12.226,1100
62,12.244,1200
63,12.072,1200
64,11.471,1200
65,11.782,1500
66,11.820,1100
67,11.976,1100
68,11.806,1100
69,11.467,1700
70,11.733,900
71,12.185,900
72,12.282,900
73,11.945,900
74,11.489,800
75,11.942,800
76,12.036,800
77,12.325,800
78,12.197,800
79,11.966,800
80,12.042,800
81,12.074,800
82,12.241,800
83,12.521,800
84,12.577,800
85,12.619,800
86,12.710,800
87,12.707,800
88,12.409,800
89,12.155,800
90,11.643,800
91,11.224,800
92,10.791,800
93,10.972,400
94,11.581,400
95,12.071,400
96,12.487,400
97,12.718,400
98,13.111,300
99,13.111,300
100,13.859,300
101,14.512,300
102,14.512,300
103,14.629,300
104,14.978,300
105,14.978,300
106,15.208,300
107,15.293,300
108,15.293,300
109,14.716,300
110,14.716,300
111,14.367,300
112,13.841,300
113,13.420,400
114,12.874,400
115,11.529,400
116,11.347,300
117,10.263,400
118,9.783,400
119,9.040,400
120,8.101,400
121,8.222,600
122,8.512,600
123,8.471,600
124,8.286,600
125,7.636,600
126,6.619,600
127,5.744,600
128,5.273,600
129,4.427,400
130,4.811,400
131,5.010,700
132,4.971,700
133,4.736,700
134,4.176,700
135,3.900,700
136,3.832,400
137,3.861,400
138,4.242,400
139,3.863,400
140,3.978,400
141,4.382,400
142,4.165,400
143,4.695,400
144,5.211,400
145,5.451,400
146,5.493,400
147,5.546,400
148,5.445,400
149,4.888,400
150,5.354,400
151,4.631,400
152,4.349,400
153,3.779,400
154,3.779,400
155,4.042,500
156,4.062,500
157,4.210,500
158,3.991,500
159,3.798,500
160,3.461,500
161,3.131,500
162,2.593,500
163,1.921,500
164,1.939,1000
165,2.184,1000
166,2.404,900
167,2.873,900
168,3.066,900
169,3.197,900
170,3.160,900
171,2.927,900
172,2.491,900
173,2.084,900
174,1.570,900
175,0.981,900
176,0.419,900
177,0.888,2700
178,1.184,2600
179,1.024,2600
180,0.912,2600
181,0.556,2600
182,0.448,2600
183,0.681,2600
184,1.249,2600
185,1.549,2600
186,1.759,2600
187,1.909,2600
188,1.869,2600
189,1.841,2600
190,1.190,2600
191,0.863,1800
192,1.182,1900
193,1.493,2000
194,1.936,2000
195,1.749,2000
196,1.359,2000
197,1.267,1900
198,0.847,2000
199,0.580,1600
200,0.596,1600
201,0.391,1600
202,-0.001,1600
203,0.283,10500
204,0.674,10600
205,0.455,10500
206,0.532,9600
207,0.991,9800
208,1.320,9700
209,1.524,9700
210,1.514,9700
211,1.458,9600
212,1.786,9300
213,1.964,9300
214,2.222,9200
215,1.982,9400
216,2.004,9500
217,1.875,9500
218,1.642,9600
219,1.105,9700
220,0.791,9900
221,0.391,9300
222,0.585,8000
223,0.570,3700
224,0.600,15500
225,0.868,15400
226,1.011,15300
227,0.927,15000
228,0.851,15000
229,0.659,14900
230,0.540,14900
231,0.377,15000
232,0.475,14900
233,0.647,14700
234,0.515,14700
235,0.958,6400
236,1.242,6300
237,1.339,6300
238,1.102,6200
239,1.021,2000
240,1.249,2000
241,1.622,2000
242,2.051,2000
243,2.252,2000
244,2.053,2000
245,2.083,2100
246,2.209,2100
247,2.278,1800
248,2.250,1800
249,1.818,1800
250,1.362,1800
251,1.470,1200
252,1.582,1200
253,1.760,1200
254,2.006,1500
255,2.263,1400
256,2.525,1400
257,2.676,1300
258,3.208,1300
259,3.476,1300
260,3.385,1200
261,3.592,1200
262,3.816,1200
263,3.816,1200
264,4.000,1200
265,4.729,1200
266,5.168,1200
267,5.313,1300
268,5.754,1300
269,5.641,1500
270,6.342,1600
271,6.777,1500
272,7.172,1500
273,7.695,1500
274,7.942,1500
275,7.743,1500
276,7.441,1500
277,7.625,1500
278,7.296,1500
279,7.456,1400
280,7.622,1400
281,7.909,1400
282,7.822,1400
283,8.000,1400
284,8.079,1400
285,7.725,1300
286,8.163,1300
287,8.430,1300
288,8.595,1300
289,8.841,1300
290,9.114,1300
291,9.452,1300
292,9.701,1300
293,10.220,1300
294,10.578,1300
295,10.623,1300
296,10.895,1300
297,10.949,1300
298,10.682,1300
299,10.333,1600
300,10.454,1700
301,10.313,1700
302,9.899,1700
303,9.979,1200
304,10.097,1200
305,10.257,1200
306,10.266,1200
307,10.071,1200
308,10.236,1200
309,10.034,1200
310,9.985,1200
311,10.212,1200
312,10.663,1200
313,10.959,1100
314,11.618,1100
315,12.286,1100
316,12.729,1100
317,13.637,1100
318,14.150,1100
319,14.148,1100
320,14.111,1100
321,13.862,1100
322,13.493,1100
323,13.439,1100
324,13.734,1100
325,13.826,1100
326,13.635,1100
327,12.808,1100
328,12.327,1100
329,12.030,1100
330,11.675,1100
331,11.274,1100
332,10.981,1100
333,11.065,1200
334,11.415,1200
335,11.151,1200
336,10.551,1200
337,10.370,1200
338,10.150,1200
339,10.062,1200
340,9.875,1200
341,9.618,1200
342,9.481,1300
343,9.581,1300
344,9.635,1300
345,9.656,1300
346,9.766,1400
347,10.117,1400
348,10.136,1400
349,10.076,1300
350,10.050,1300
351,9.828,1300
352,9.515,1300
353,9.128,1300
354,8.874,1200
355,8.647,1200
356,8.463,1200
357,8.415,1200
358,8.202,1200
359,8.144,1000
