# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 富士山山頂 (緯度35.3606, 経度138.7274, 観測者標高3776.0m)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,-2.815,50000
1,-3.055,49800
2,-3.435,50000
3,-3.331,50000
4,-3.011,49800
5,-2.680,50000
6,-2.561,50000
7,-2.745,50000
8,-2.821,50000
9,-2.831,47200
10,-2.814,47100
11,-2.786,48300
12,-2.673,48400
13,-2.672,44500
14,-2.051,700
15,-1.975,700
16,-1.867,700
17,-1.865,700
18,-2.235,700
19,-2.504,700
20,-2.938,700
21,-3.189,39400
22,-3.021,40000
23,-3.119,49900
24,-3.092,49800
25,-3.213,50000
26,-3.331,45400
27,-3.277,45600
28,-3.301,45500
29,-3.241,48500
30,-3.068,49000
31,-2.928,49600
32,-2.881,49500
33,-3.051,49000
34,-3.258,49400
35,-3.278,48200
36,-3.311,48100
37,-3.339,48300
38,-3.409,48300
39,-3.379,48400
40,-3.412,48600
41,-3.428,49200
42,-3.523,49400
43,-3.663,50000
44,-3.568,50000
45,-3.717,50000
46,-3.760,50000
47,-3.515,49900
48,-3.733,49300
49,-3.922,50000
50,-3.957,49600
51,-3.949,49800
52,-4.025,50000
53,-3.995,49600
54,-4.053,700
55,-3.932,700
56,-4.192,700
57,-4.153,48500
58,-3.930,700
59,-3.827,48900
60,-3.842,49300
61,-3.923,49500
62,-3.903,35000
63,-3.859,44500
64,-3.628,42600
65,-3.589,40000
66,-3.513,40400
67,-3.577,41000
68,-3.652,39800
69,-3.358,39900
70,-3.337,40200
71,-3.275,40400
72,-3.231,41700
73,-3.314,41500
74,-3.377,41400
75,-3.409,41000
76,-3.514,42100
77,-3.539,46700
78,-3.411,46800
79,-3.337,46500
80,-3.689,46600
81,-3.905,46700
82,-4.040,46900
83,-4.114,47600
84,-4.060,48200
85,-4.125,48400
86,-4.349,47700
87,-4.423,48400
88,-4.481,47600
89,-4.465,50000
90,-4.472,49800
91,-4.436,50000
92,-4.422,49700
93,-4.342,50000
94,-4.312,50000
95,-4.449,49700
96,-4.440,49900
97,-4.466,49200
98,-4.513,50000
99,-4.513,50000
100,-4.513,50000
101,-4.513,50000
102,-4.513,50000
103,-4.513,50000
