# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 石廊崎 (緯度34.602778, 経度138.845278, 観測者標高60.0m)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,3.805,2200
1,3.959,2100
2,4.211,2100
3,4.244,2100
4,4.286,2100
5,4.048,2000
6,3.402,2000
7,3.712,1900
8,4.136,1900
9,4.162,1900
10,3.853,1900
11,3.300,2700
12,3.552,2700
13,3.492,2700
14,3.265,2600
15,3.409,2800
16,3.340,2800
17,3.370,3400
18,3.353,2800
19,3.113,2800
20,3.198,2800
21,3.687,2800
22,3.161,2800
23,3.130,2900
24,2.828,2900
25,2.821,3400
26,2.507,3400
27,2.429,3500
28,2.319,3400
29,2.036,3500
30,1.796,33300
31,1.601,32500
32,1.571,32400
33,1.639,4500
34,1.283,4500
35,1.251,4500
36,1.026,4800
37,0.931,4800
38,0.907,11600
39,1.058,12300
40,0.998,12400
41,0.688,6100
42,0.876,15100
43,0.833,10800
44,0.834,10900
45,0.532,14100
46,0.476,7800
47,0.520,6500
48,0.490,13800
49,0.515,13700
50,0.608,6600
51,0.797,6600
52,0.521,6600
53,0.315,6600
54,0.259,6500
55,0.156,6800
56,0.235,6300
57,0.089,6300
58,-0.002,12500
59,0.020,13000
60,-0.007,12900
61,-0.017,13000
62,-0.041,13300
63,-0.042,13100
64,-0.088,13300
65,-0.232,29600
66,-0.232,29600
67,-0.232,29600
68,-0.232,29600
69,-0.232,29600
70,-0.214,50000
71,-0.195,50000
72,-0.146,50000
73,-0.046,50000
74,0.011,50000
75,-0.018,50000
76,-0.039,50000
77,-0.148,50000
78,-0.232,29600
79,-0.232,29600
80,-0.232,29600
81,-0.232,29600
82,-0.232,29600
83,-0.232,29600
84,-0.232,29600
85,-0.232,29600
86,-0.232,29600
87,-0.232,29600
88,-0.232,29600
89,-0.232,29600
90,-0.232,29600
91,-0.232,29600
92,-0.232,29600
93,-0.232,29600
94,-0.232,29600
95,-0.232,29600
96,-0.232,29600
97,-0.232,29600
98,-0.232,29600
99,-0.232,29600
100,-0.232,29600
101,-0.200,41100
102,0.085,40900
103,0.425,40800
104,0.037,40700
105,-0.232,29600
106,-0.232,29600
107,-0.232,29600
108,-0.232,29600
109,-0.096,43300
110,-0.232,29600
111,-0.232,29600
112,-0.232,29600
113,-0.232,29600
114,-0.232,29600
115,-0.232,29600
116,-0.003,45100
117,0.026,45300
118,-0.033,46000
119,0.258,44900
120,0.262,45600
121,0.274,45000
122,0.137,45500
123,-0.076,45800
124,-0.210,47200
125,-0.090,45700
126,0.063,48500
127,0.036,47100
128,-0.232,29600
129,-0.232,29600
130,-0.232,29600
131,-0.210,46200
132,-0.193,45800
133,-0.137,45000
134,-0.145,45000
135,-0.232,29600
136,-0.232,29600
137,-0.232,29600
138,-0.232,29600
139,-0.232,29600
140,-0.232,29600
141,-0.232,29600
142,-0.232,29600
143,-0.232,29600
144,-0.232,29600
145,0.062,49700
146,-0.010,48800
147,-0.032,50000
148,-0.183,50000
149,-0.232,29600
150,-0.232,29600
151,-0.232,29600
152,-0.232,29600
153,-0.232,29600
154,-0.232,29600
155,-0.232,29600
156,-0.232,29600
157,-0.232,29600
158,-0.232,29600
159,-0.232,29600
160,-0.232,29600
161,-0.232,29600
162,-0.232,29600
163,-0.232,29600
164,-0.232,29600
165,-0.232,29600
166,-0.232,29600
167,-0.232,29600
168,-0.232,29600
169,-0.232,29600
170,-0.232,29600
171,-0.232,29600
172,-0.232,29600
173,-0.232,29600
174,-0.232,29600
175,-0.232,29600
176,-0.232,29600
177,-0.232,29600
178,-0.232,29600
179,-0.232,29600
180,-0.232,29600
181,-0.232,29600
182,-0.232,29600
183,-0.232,29600
184,-0.232,29600
185,-0.232,29600
186,-0.232,29600
187,-0.232,29600
188,-0.232,29600
189,-0.232,29600
190,-0.232,29600
191,-0.232,29600
192,-0.232,29600
193,-0.232,29600
194,-0.232,29600
195,-0.232,29600
196,-0.232,29600
197,-0.232,29600
198,-0.232,29600
199,-0.232,29600
200,-0.232,29600
201,-0.232,29600
202,-0.232,29600
203,-0.232,29600
204,-0.232,29600
205,-0.232,29600
206,-0.232,29600
207,-0.232,29600
208,-0.232,29600
209,-0.232,29600
210,-0.232,29600
211,-0.232,29600
212,-0.232,29600
213,-0.232,29600
214,-0.232,29600
215,-0.232,29600
216,-0.232,29600
217,-0.232,29600
218,-0.232,29600
219,-0.232,29600
220,-0.232,29600
221,-0.232,29600
222,-0.232,29600
223,-0.232,29600
224,-0.232,29600
225,-0.232,29600
226,-0.232,29600
227,-0.232,29600
228,-0.232,29600
229,-0.232,29600
230,-0.232,29600
231,-0.232,29600
232,-0.232,29600
233,-0.232,29600
234,-0.232,29600
235,-0.232,29600
236,-0.232,29600
237,-0.232,29600
238,-0.232,29600
239,-0.232,29600
240,-0.232,29600
241,-0.232,29600
242,-0.232,29600
243,-0.232,29600
244,-0.232,29600
245,-0.232,29600
246,-0.232,29600
247,-0.232,29600
248,-0.232,29600
249,-0.232,29600
250,-0.232,29600
251,-0.232,29600
252,-0.232,29600
253,-0.232,29600
254,-0.232,29600
255,-0.232,29600
256,-0.232,29600
257,-0.232,29600
258,-0.232,29600
259,-0.232,29600
260,-0.232,29600
261,-0.232,29600
262,-0.232,29600
263,-0.232,29600
264,-0.232,29600
265,-0.232,29600
266,-0.232,29600
267,-0.232,29600
268,-0.232,29600
269,-0.232,29600
270,-0.232,29600
271,-0.232,29600
272,-0.232,29600
273,-0.232,29600
274,-0.232,29600
275,-0.232,29600
276,-0.232,29600
277,-0.232,29600
278,-0.232,29600
279,-0.232,29600
280,-0.000,2000
281,-0.162,2000
282,-0.232,29600
283,-0.232,29600
284,-0.232,29600
285,0.487,1700
286,0.894,1700
287,1.082,1600
288,1.367,1600
289,1.502,1600
290,1.432,1500
291,1.049,1600
292,0.928,1600
293,1.079,1600
294,1.251,1500
295,1.454,1500
296,1.585,1500
297,1.686,1500
298,1.773,1500
299,1.761,1500
300,1.614,1700
301,1.738,1700
302,1.923,1700
303,2.056,1700
304,2.455,1800
305,2.754,1800
306,3.146,1800
307,3.618,1800
308,3.881,1800
309,4.069,1700
310,4.556,1700
311,4.817,1700
312,5.059,1700
313,4.954,1700
314,4.839,1800
315,4.824,1800
316,4.521,1800
317,4.376,1900
318,4.282,2000
319,3.865,2000
320,3.542,2000
321,3.940,2000
322,4.125,2000
323,4.158,1900
324,4.398,1900
325,4.984,1800
326,5.054,1800
327,4.456,1800
328,4.296,2000
329,4.581,2000
330,4.855,2000
331,4.611,2000
332,4.410,2200
333,4.457,2200
334,4.399,2100
335,3.894,2100
336,4.001,2600
337,3.702,2700
338,3.417,2700
339,3.499,1800
340,3.458,3100
341,3.508,3100
342,3.549,3100
343,3.852,2800
344,3.802,3000
345,3.856,3000
346,3.587,3100
347,3.764,3500
348,3.742,3500
349,3.717,3600
350,3.682,3100
351,3.464,1400
352,3.929,1400
353,3.996,1400
354,3.814,1400
355,3.648,1400
356,3.370,1400
357,3.526,1800
358,3.834,1800
359,3.471,1800
