# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: いすみ鉄道 踏切 (緯度35.282583, 経度140.29725, 観測者標高17.57m)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,2.432,1000
1,2.479,1000
2,2.556,1000
3,2.336,1500
4,2.582,1000
5,2.641,1000
6,2.986,800
7,3.156,800
8,3.471,800
9,3.736,800
10,3.776,800
11,3.754,800
12,3.465,800
13,3.353,800
14,2.953,800
15,2.415,800
16,2.600,700
17,2.686,700
18,2.985,700
19,3.088,600
20,3.107,600
21,3.128,600
22,3.127,600
23,3.025,600
24,2.865,600
25,2.753,600
26,2.376,600
27,2.221,600
28,2.001,600
29,1.806,600
30,1.706,600
31,1.482,600
32,1.418,600
33,1.438,600
34,1.405,600
35,1.395,600
36,1.441,600
37,1.500,600
38,1.575,600
39,1.614,600
40,1.555,600
41,1.477,600
42,1.402,600
43,1.330,600
44,1.292,600
45,1.313,600
46,1.445,600
47,1.755,600
48,2.028,600
49,2.146,600
50,2.162,600
51,1.996,600
52,1.262,700
53,1.182,700
54,1.159,700
55,1.039,700
56,0.671,3100
57,0.781,3100
58,0.935,3100
59,0.830,3100
60,0.538,3000
61,0.847,3000
62,0.737,3000
63,0.872,3000
64,0.873,2900
65,0.634,3200
66,1.140,3100
67,0.741,3200
68,0.999,3000
69,0.826,2900
70,0.859,3000
71,1.036,3000
72,0.797,3000
73,0.958,3100
74,0.800,3000
75,0.722,3000
76,0.561,3900
77,0.636,4000
78,0.783,3900
79,0.670,3900
80,0.787,4000
81,0.832,4000
82,0.787,4100
83,0.712,4100
84,0.613,4100
85,0.773,4500
86,0.808,4500
87,0.775,4400
88,0.789,4500
89,0.788,3700
90,0.795,3600
91,0.603,4200
92,0.522,5300
93,0.686,5200
94,0.775,5200
95,0.691,4700
96,0.670,4900
97,0.563,5200
98,0.615,5100
99,0.575,4900
100,0.710,5100
101,0.703,6000
102,0.603,6300
103,0.583,6300
104,0.879,2000
105,1.463,2100
106,1.755,2100
107,1.858,2100
108,1.982,2100
109,2.024,2100
110,2.080,2000
111,2.276,2000
112,2.118,2000
113,1.633,1900
114,1.627,1900
115,2.223,1900
116,1.951,1900
117,1.595,1900
118,1.943,1900
119,1.513,1900
120,1.538,1900
121,1.809,1900
122,1.864,2100
123,1.739,2300
124,1.870,2200
125,2.112,2300
126,2.472,1900
127,2.506,2000
128,2.478,2000
129,2.175,1700
130,2.293,2000
131,2.433,1900
132,2.510,1900
133,2.382,1200
134,2.607,2100
135,2.291,2200
136,2.031,2100
137,1.945,1600
138,1.922,1600
139,1.726,1800
140,1.711,1800
141,1.688,1800
142,1.698,1700
143,1.803,1700
144,1.837,1700
145,1.971,1800
146,2.006,1800
147,1.544,1900
148,1.686,2000
149,2.146,1900
150,2.315,1900
151,2.491,1900
152,2.481,1800
153,2.730,1800
154,2.625,1800
155,2.522,1800
156,2.495,1900
157,2.512,1900
158,2.648,1900
159,2.758,1900
160,2.673,1900
161,2.390,1400
162,2.551,1400
163,2.559,1400
164,2.281,2000
165,2.586,2000
166,2.583,1300
167,2.739,1300
168,2.746,1300
169,2.523,1300
170,2.729,700
171,3.037,700
172,3.264,700
173,3.416,700
174,3.978,700
175,3.637,700
176,3.710,800
177,3.759,800
178,3.764,800
179,3.754,800
180,3.377,700
181,3.476,700
182,3.459,700
183,3.451,700
184,3.443,700
185,3.412,700
186,3.355,700
187,3.162,1000
188,2.942,1300
189,2.793,1300
190,2.512,1300
191,2.405,1200
192,2.697,1200
193,2.372,1200
194,2.164,1400
195,2.180,2400
196,1.976,2400
197,2.002,2800
198,2.132,2800
199,2.074,2700
200,2.016,2700
201,1.842,2700
202,2.230,2700
203,2.312,2700
204,2.263,2800
205,2.002,3200
206,2.007,3100
207,1.975,2800
208,1.981,2800
209,1.994,2800
210,2.185,2800
211,2.326,2800
212,2.159,2800
213,1.977,2800
214,2.249,2800
215,2.123,2800
216,2.034,2900
217,2.212,2900
218,1.996,2800
219,2.150,2800
220,2.220,2600
221,2.170,2100
222,2.128,2000
223,2.094,2000
224,2.359,2600
225,2.435,2600
226,1.948,2600
227,2.175,2500
228,1.992,2500
229,2.037,2600
230,1.841,2600
231,1.978,2400
232,1.788,2400
233,1.726,2500
234,1.771,2500
235,1.711,2500
236,1.564,3000
237,1.809,3200
238,1.827,3300
239,1.814,2400
240,1.882,2500
241,1.927,2500
242,1.830,2400
243,1.810,2400
244,1.521,2300
245,1.757,2300
246,1.828,2600
247,1.636,2600
248,1.807,2600
249,1.587,2700
250,1.594,2700
251,1.488,2400
252,1.391,2600
253,1.338,3500
254,1.507,2700
255,1.204,2700
256,1.119,2600
257,1.308,7200
258,1.198,2900
259,1.220,1800
260,1.122,3000
261,1.001,3800
262,0.922,3200
263,0.970,7500
264,1.021,3900
265,1.079,10400
266,1.104,10600
267,1.174,10300
268,1.102,600
269,1.185,700
270,1.679,700
271,1.843,700
272,1.984,700
273,2.455,700
274,2.942,700
275,3.326,700
276,3.433,700
277,3.483,700
278,3.402,700
279,3.038,700
280,3.096,700
281,3.109,700
282,3.317,700
283,3.517,700
284,3.470,700
285,3.435,700
286,3.413,700
287,3.391,700
288,3.335,700
289,3.577,500
290,3.727,500
291,3.674,500
292,3.473,500
293,3.155,600
294,3.130,600
295,3.210,600
296,3.208,600
297,3.159,600
298,3.024,600
299,3.040,700
300,3.079,700
301,3.065,700
302,3.025,700
303,2.872,700
304,2.709,700
305,2.483,500
306,2.315,500
307,2.131,500
308,1.993,500
309,1.904,500
310,1.683,500
311,1.400,500
312,1.172,500
313,1.285,5800
314,1.284,5800
315,1.367,5800
316,1.101,5500
317,1.338,5600
318,1.412,5700
319,1.310,5800
320,1.351,5900
321,1.255,5900
322,1.277,4600
323,1.259,5900
324,1.269,3300
325,1.477,4200
326,1.262,4300
327,1.336,1800
328,1.558,2000
329,1.796,2000
330,1.607,2000
331,1.400,1900
332,1.755,1800
333,1.568,1800
334,1.802,1800
335,1.791,1800
336,1.703,1600
337,1.936,1600
338,2.240,1600
339,2.285,1600
340,2.303,1600
341,2.326,1600
342,2.286,1700
343,1.970,1800
344,1.870,1500
345,2.110,1500
346,2.433,1400
347,2.175,1400
348,2.096,900
349,2.518,900
350,2.417,900
351,2.688,1400
352,2.951,1300
353,2.672,1300
354,2.803,1400
355,2.751,1400
356,2.454,1300
357,2.901,1400
358,2.968,1400
359,2.789,1300
