# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 精進湖 他手合浜 (緯度35.49082406874103, 経度138.6050761633788, 観測者標高900.0m)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,21.729,200
1,21.729,200
2,22.160,200
3,22.160,200
4,22.160,200
5,22.187,200
6,22.187,200
7,22.141,200
8,20.736,200
9,20.538,200
10,20.538,200
11,19.998,200
12,19.998,200
13,19.998,200
14,19.062,200
15,19.062,200
16,17.980,200
17,17.980,200
18,15.655,200
19,15.655,200
20,15.655,200
21,14.089,200
22,14.089,200
23,12.519,200
24,11.933,200
25,11.209,1500
26,11.196,500
27,11.384,1500
28,11.786,1500
29,12.315,1500
30,12.789,1500
31,13.117,1500
32,13.136,1500
33,12.988,1500
34,12.943,1500
35,12.734,1500
36,12.210,1400
37,11.493,1500
38,12.032,1600
39,12.406,1600
40,12.642,1600
41,12.797,1600
42,12.604,1700
43,13.365,1700
44,13.436,1700
45,13.702,1800
46,13.627,1800
47,13.155,1800
48,12.831,1900
49,12.304,1900
50,11.679,1900
51,11.523,1800
52,11.651,1800
53,11.455,1800
54,10.876,1800
55,10.753,1800
56,10.961,1800
57,10.775,1700
58,11.608,1700
59,12.339,1700
60,12.352,1700
61,11.871,1700
62,12.237,1600
63,12.804,1600
64,13.201,1500
65,13.435,1500
66,13.827,1500
67,13.981,1500
68,14.032,1500
69,14.008,1500
70,14.099,1400
71,14.392,1400
72,14.802,1400
73,14.856,1400
74,14.594,1300
75,14.682,1200
76,15.063,1200
77,14.805,1200
78,14.003,1200
79,13.190,1200
80,12.804,1200
81,12.201,1200
82,12.322,1100
83,12.347,1100
84,12.238,1100
85,12.403,1100
86,12.793,1100
87,12.574,1100
88,12.308,1100
89,11.928,1100
90,11.669,1100
91,11.228,1100
92,10.979,1100
93,10.707,1100
94,10.431,1100
95,9.974,1100
96,9.051,1100
97,8.302,1100
98,7.599,1100
99,6.828,800
100,6.837,1200
101,6.712,1200
102,6.895,1200
103,7.046,1200
104,7.377,1200
105,7.265,1200
106,7.050,1200
107,6.678,1200
108,5.875,1200
109,5.330,1200
110,4.538,1200
111,4.234,1100
112,3.981,1100
113,3.408,1100
114,2.937,1100
115,2.292,1100
116,1.675,5200
117,1.688,5200
118,1.794,10100
119,1.906,9100
120,2.035,9200
121,2.092,10500
122,2.251,10600
123,2.318,10600
124,2.420,10700
125,2.577,10000
126,2.741,17600
127,3.074,15900
128,3.510,15800
129,3.939,15700
130,4.298,15600
131,4.696,15500
132,5.021,15700
133,5.244,16900
134,5.701,17000
135,6.212,17200
136,6.718,17300
137,7.282,17500
138,7.820,17500
139,8.336,17600
140,8.753,18100
141,8.952,17800
142,8.872,18000
143,8.564,18200
144,7.862,18100
145,7.210,17900
146,6.562,17800
147,5.962,17900
148,5.411,17800
149,4.826,17800
150,4.292,17700
151,3.780,17700
152,3.378,17900
153,3.079,17800
154,2.769,17800
155,2.451,17800
156,2.518,15200
157,2.164,15300
158,1.941,11600
159,1.842,11600
160,1.717,11500
161,1.594,8500
162,1.842,2300
163,2.181,2300
164,2.464,2200
165,2.971,2200
166,2.823,2200
167,3.071,2100
168,3.423,2100
169,3.361,2000
170,3.851,2000
171,3.821,2000
172,4.273,700
173,4.666,700
174,5.129,700
175,5.257,700
176,5.513,700
177,5.812,700
178,5.943,700
179,6.475,1300
180,7.277,1300
181,7.962,1300
182,8.471,1300
183,8.863,1300
184,9.105,1300
185,9.509,1300
186,10.033,1300
187,10.317,1300
188,10.736,1300
189,10.932,1300
190,11.305,1400
191,12.081,1400
192,12.582,1400
193,12.938,1400
194,13.207,1400
195,13.566,1400
196,13.914,1400
197,13.885,1300
198,14.169,1300
199,13.989,1300
200,13.949,1200
201,13.898,1200
202,13.719,1300
203,14.049,1200
204,14.047,1200
205,14.390,400
206,14.858,400
207,15.099,400
208,15.522,1000
209,16.355,1000
210,16.925,1000
211,17.122,1000
212,17.155,1000
213,17.632,1200
214,18.070,1200
215,18.123,1200
216,18.236,1200
217,18.268,1200
218,18.539,1100
219,18.973,1100
220,19.480,1100
221,19.694,1100
222,19.919,1100
223,19.933,1100
224,19.743,1100
225,19.730,1100
226,19.772,1100
227,19.195,1100
228,18.660,1100
229,18.500,1100
230,18.300,1100
231,18.107,1100
232,18.406,1100
233,18.560,1100
234,18.769,1100
235,18.736,1100
236,18.574,1100
237,17.928,1100
238,17.735,600
239,17.490,600
240,17.508,600
241,17.666,600
242,17.761,700
243,18.190,700
244,18.583,700
245,19.475,700
246,19.736,700
247,20.175,700
248,20.375,700
249,20.596,700
250,20.764,700
251,20.747,700
252,20.893,700
253,20.484,700
254,20.297,700
255,20.471,800
256,20.461,800
257,20.298,900
258,20.844,900
259,21.391,900
260,21.802,900
261,21.895,900
262,22.086,900
263,22.060,900
264,22.099,900
265,22.149,900
266,22.037,900
267,21.768,900
268,21.764,900
269,21.922,900
270,21.881,900
271,21.757,900
272,21.542,900
273,21.246,900
274,20.877,900
275,20.404,900
