# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 富士山須走口五合目 (緯度35.364942, 経度138.777077, 観測者標高1974.88m)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,9.106,200
1,9.106,200
2,8.609,100
3,8.609,100
4,8.443,200
5,7.862,100
6,7.862,100
7,7.862,100
8,7.862,100
9,7.130,100
10,7.130,100
11,7.130,100
12,7.130,100
13,6.401,100
14,6.401,100
15,5.716,100
16,5.716,100
17,5.716,100
18,4.864,100
19,4.864,100
20,4.864,100
21,4.864,100
22,4.864,100
23,3.930,100
24,3.930,100
25,3.930,100
26,3.930,100
27,3.399,100
28,2.513,100
29,2.513,100
30,2.513,100
31,2.513,100
32,2.513,100
33,1.861,100
34,1.861,100
35,1.861,100
36,1.403,100
37,1.403,100
38,0.710,100
39,0.710,100
40,0.710,100
41,0.710,100
42,0.710,100
43,0.177,100
44,-0.516,100
45,-0.516,100
46,-0.516,100
47,-0.516,100
48,-0.516,100
49,-1.066,100
50,-1.066,100
51,-1.564,31800
52,-1.685,32600
53,-1.748,33500
54,-1.743,49900
55,-1.849,29100
56,-1.460,30100
57,-1.184,29700
58,-1.011,31200
59,-1.076,30700
60,-1.308,30600
61,-1.511,40000
62,-1.206,38200
63,-1.063,35600
64,-1.063,36200
65,-0.962,32000
66,-0.997,32100
67,-0.869,35500
68,-0.767,35700
69,-0.765,35900
70,-0.763,36100
71,-0.823,37100
72,-0.886,37000
73,-0.970,36800
74,-0.923,36500
75,-1.095,36200
76,-1.391,37600
77,-1.364,42200
78,-1.219,42100
79,-1.397,42000
80,-1.725,40300
81,-1.933,42300
82,-2.039,42400
83,-2.113,43100
84,-2.088,43600
85,-2.209,44000
86,-2.360,43000
87,-2.443,49500
88,-2.439,49500
89,-2.446,50000
90,-2.447,50000
91,-2.449,50000
92,-2.447,50000
93,-2.449,50000
94,-2.436,46300
95,-2.332,49900
96,-2.353,49000
97,-2.457,50000
98,-2.457,50000
99,-2.457,50000
100,-2.457,50000
101,-2.457,50000
102,-2.457,50000
103,-2.457,50000
104,-2.457,50000
105,-2.457,50000
106,-2.457,50000
107,-2.457,50000
108,-2.457,50000
109,-2.258,26600
110,-1.978,26500
111,-1.850,26900
112,-2.087,27200
113,-2.343,21700
114,-2.324,28600
115,-2.287,29400
116,-2.457,50000
117,-2.457,50000
118,-2.366,21300
119,-2.333,21300
120,-2.272,26800
121,-1.727,26500
122,-1.522,26600
123,-1.369,26600
124,-1.460,26400
125,-1.488,27600
126,-1.924,27500
127,-1.921,32200
128,-1.899,31900
129,-1.905,32000
130,-1.980,31800
131,-1.938,31700
132,-2.001,31300
133,-1.980,31100
134,-2.098,32700
135,-2.044,32100
136,-2.036,33000
137,-2.133,35400
138,-2.185,35800
139,-2.206,36300
140,-2.226,36600
141,-2.204,37500
142,-2.085,38000
143,-2.093,38900
144,-1.905,38900
145,-1.971,40200
146,-2.054,45100
147,-2.029,50000
148,-1.910,49700
149,-1.922,46500
150,-1.894,47800
151,-1.894,48200
152,-1.928,49700
153,-1.964,49900
154,-2.067,48300
155,-2.218,49600
156,-2.251,47200
157,-2.156,49400
158,-1.685,200
159,-1.685,200
160,-1.121,200
161,-1.121,200
162,-1.121,200
163,-0.708,200
164,-0.708,200
165,-0.241,200
166,-0.241,200
167,0.237,200
168,0.237,200
169,0.237,200
170,0.715,200
171,0.715,200
172,1.197,200
173,1.185,200
174,1.675,200
175,1.675,200
176,2.178,200
177,2.178,200
178,2.178,200
179,2.673,200
180,2.673,200
181,3.153,200
182,3.153,200
183,3.633,200
184,3.633,200
185,4.117,200
186,4.117,200
187,4.117,200
188,4.713,200
189,4.713,200
190,5.312,200
191,5.312,200
192,5.917,200
193,5.917,200
194,6.509,200
195,6.509,200
196,6.509,200
197,7.119,200
198,7.099,200
199,7.738,200
200,7.738,200
201,8.373,200
202,8.373,200
203,8.373,200
204,8.969,200
205,8.841,200
206,9.422,200
207,9.422,200
208,9.422,200
209,9.976,200
210,9.856,200
211,10.436,200
212,10.436,200
213,10.436,200
214,11.039,200
215,11.039,200
216,11.039,200
217,11.727,200
218,11.694,200
219,11.694,200
220,12.374,200
221,12.303,200
222,12.955,200
223,12.955,200
224,12.955,200
225,13.045,400
226,13.514,200
227,13.514,200
228,13.529,400
229,14.009,200
230,14.400,400
231,14.528,400
232,14.940,400
233,14.984,400
234,15.407,400
235,15.407,400
236,15.880,400
237,15.882,400
238,16.233,400
239,16.353,2300
240,16.576,2400
241,16.818,2500
242,17.070,2700
243,17.338,3200
244,17.645,3300
245,17.921,3300
246,18.183,3000
247,18.401,3400
248,18.643,3200
249,18.902,3300
250,19.249,3300
251,19.528,3000
252,19.831,3300
253,20.118,3300
254,20.443,3500
255,20.738,3500
256,21.101,3700
257,21.419,3600
258,21.831,3600
259,22.253,3700
260,22.673,3800
261,23.073,3900
262,23.357,3900
263,23.769,3900
264,23.755,3900
265,23.898,3800
266,24.213,3800
267,24.181,3900
268,24.139,3900
269,24.007,3900
270,23.673,3800
271,23.462,4000
272,23.162,4000
273,22.774,3900
274,22.480,3700
275,22.313,3700
276,22.116,3600
277,21.904,3500
278,21.622,3400
279,21.393,3400
280,21.023,3300
281,20.714,3300
282,20.369,3300
283,19.992,3300
284,19.539,2600
285,19.383,2400
286,18.935,2400
287,18.697,2300
288,18.363,2200
289,18.067,2200
290,18.054,700
291,17.997,700
292,18.066,600
293,17.929,600
294,18.018,600
295,17.925,600
296,17.993,600
297,17.784,600
298,17.503,600
299,17.452,600
300,17.306,200
301,16.791,400
302,16.982,200
303,16.982,200
304,16.982,200
305,16.980,300
306,16.948,300
307,17.053,200
308,17.252,300
309,16.899,300
310,17.208,300
311,16.836,300
312,17.113,300
313,16.703,300
314,16.955,300
315,16.955,300
316,16.730,300
317,16.730,300
318,16.502,300
319,16.502,300
320,16.343,200
321,16.287,300
322,15.914,300
323,16.272,200
324,15.843,200
325,15.843,200
326,15.843,200
327,15.923,200
328,15.923,200
329,15.923,200
330,15.485,200
331,15.960,200
332,15.495,200
333,15.495,200
334,15.495,200
335,15.045,200
336,15.389,200
337,14.874,200
338,14.874,200
339,14.874,200
340,14.299,200
341,14.299,200
342,13.847,200
343,13.847,200
344,13.186,200
345,13.186,200
346,13.186,200
347,12.527,200
348,12.527,200
349,11.906,200
350,11.906,200
351,11.306,200
352,11.444,200
353,10.873,200
354,10.873,200
355,10.873,200
356,10.317,200
357,10.317,200
358,9.736,200
359,9.736,200
