# 出典: 国土地理院 (地理院タイル 標高タイル, cyberjapandata.gsi.go.jp)
# 地点: 八ヶ岳南麓天文台 (緯度35.882707, 経度138.36435, 観測者標高1060.38m)
azimuth_deg,horizon_altitude_deg,distance_of_max_m
0,12.894,6500
1,12.566,6400
2,12.292,6300
3,12.100,6100
4,12.090,6000
5,11.492,6000
6,10.974,5900
7,10.772,5900
8,10.223,5800
9,9.873,5700
10,9.631,5600
11,9.393,5500
12,8.984,5400
13,8.863,5200
14,8.763,5100
15,8.472,5000
16,8.243,5000
17,7.918,6600
18,7.725,4600
19,7.654,4600
20,7.531,4500
21,7.510,4400
22,7.333,4400
23,7.161,4300
24,7.124,4300
25,6.944,200
26,6.944,200
27,6.786,200
28,6.786,200
29,6.873,200
30,6.873,200
31,6.873,200
32,6.675,200
33,6.675,200
34,6.675,200
35,6.670,200
36,6.435,200
37,6.407,200
38,6.407,200
39,6.158,200
40,6.098,200
41,6.098,200
42,6.098,200
43,5.789,200
44,5.789,200
45,5.789,200
46,5.429,200
47,5.429,200
48,5.429,200
49,5.086,100
50,5.086,100
51,4.949,200
52,4.593,200
53,4.468,200
54,4.468,200
55,4.784,100
56,4.784,100
57,4.092,500
58,4.030,500
59,3.940,500
60,3.914,400
61,3.827,100
62,3.854,400
63,3.747,400
64,3.623,400
65,3.462,400
66,3.376,400
67,3.292,400
68,3.228,400
69,3.157,400
70,3.002,400
71,2.938,13700
72,2.841,400
73,2.722,400
74,2.845,14600
75,2.818,12000
76,2.599,15200
77,2.560,20800
78,2.773,20900
79,2.713,20900
80,2.634,21300
81,2.965,22700
82,3.236,22700
83,3.185,22500
84,3.169,22200
85,3.064,22000
86,3.065,22000
87,2.966,21800
88,2.592,21800
89,2.810,25200
90,3.079,25100
91,3.154,23800
92,3.359,23900
93,3.608,23600
94,3.339,23200
95,2.930,23300
96,3.002,23100
97,2.667,22800
98,2.425,27300
99,2.267,21900
100,2.221,28700
101,2.195,28500
102,2.134,28400
103,1.979,18400
104,1.941,18700
105,1.843,19100
106,1.705,19000
107,1.948,19000
108,1.763,19700
109,1.615,19200
110,1.684,19900
111,1.495,18500
112,1.706,18700
113,1.652,18900
114,1.533,18500
115,1.511,18900
116,1.531,19000
117,1.520,18700
118,1.681,18900
119,1.534,19000
120,1.623,17800
121,1.388,14200
122,1.910,15600
123,2.225,15600
124,2.471,15800
125,2.098,15700
126,1.995,16700
127,1.684,15600
128,1.380,16500
129,1.082,16500
130,1.109,16300
131,0.793,16100
132,0.352,16000
133,0.140,16100
134,0.051,49400
135,0.188,49800
136,0.340,50000
137,0.394,48200
138,0.423,50000
139,0.437,49900
140,0.418,49600
141,0.374,49300
142,0.415,48900
143,0.442,49000
144,0.523,49200
145,0.563,49400
146,0.349,48800
147,0.430,48400
148,0.466,48200
149,0.261,47800
150,0.189,48000
151,0.097,48100
152,0.020,45600
153,0.216,47300
154,0.061,47500
155,-0.013,49000
156,-0.131,44400
157,-0.075,44700
158,-0.048,43500
159,0.075,43300
160,-0.148,43300
161,-0.277,43900
162,-0.398,49400
163,-0.606,50000
164,-0.626,50000
165,-0.622,49700
166,-0.829,50000
167,-0.666,23400
168,-0.248,23600
169,-0.183,22800
170,-0.196,19500
171,-0.064,22700
172,0.176,22700
173,0.445,22800
174,0.762,20400
175,0.953,22200
176,1.479,22200
177,1.633,22300
178,1.581,22200
179,1.899,22000
180,2.023,22000
181,2.295,21400
182,2.531,23100
183,2.445,23100
184,2.170,23300
185,2.243,25500
186,2.574,23500
187,3.159,23400
188,3.452,23300
189,3.564,23200
190,3.550,23000
191,3.703,21400
192,4.099,21400
193,4.496,21300
194,4.557,21000
195,4.802,20800
196,4.470,20500
197,4.650,19700
198,4.606,20100
199,4.455,20100
200,4.656,20400
201,4.231,20400
202,3.863,25300
203,4.107,20300
204,3.901,20100
205,4.065,29000
206,4.459,25900
207,4.347,25600
208,3.968,25800
209,4.106,19500
210,4.296,19600
211,4.252,19700
212,4.510,19900
213,4.613,20000
214,4.791,20000
215,4.561,19900
216,4.581,19900
217,4.271,19900
218,5.082,18200
219,5.497,18100
220,5.868,18000
221,5.598,17900
222,5.413,17800
223,4.934,17900
224,4.533,18000
225,4.520,18000
226,4.877,17500
227,4.760,18100
228,4.674,18100
229,4.818,18100
230,4.752,18100
231,4.708,18000
232,4.655,18100
233,4.650,18000
234,4.330,18000
235,4.309,17800
236,3.674,18200
237,3.302,15500
238,3.220,12800
239,3.022,13000
240,3.356,13100
241,3.871,13200
242,4.083,13200
243,3.845,13700
244,3.719,12100
245,3.557,12200
246,3.566,18700
247,3.590,18500
248,3.509,11900
249,3.544,11600
250,3.213,17800
251,3.214,17600
252,3.139,17500
253,3.096,17600
254,3.363,17700
255,3.336,17600
256,3.429,17500
257,3.264,16600
258,3.535,16700
259,3.608,16400
260,3.525,16100
261,3.408,16100
262,3.318,16100
263,3.245,17400
264,3.267,17100
265,3.064,16900
266,3.099,16400
267,3.053,16400
268,3.003,17300
269,2.858,16100
270,2.728,16900
271,2.778,15600
272,2.850,17500
273,2.706,17200
274,2.628,17500
275,2.818,17500
276,2.534,17300
277,2.556,300
278,2.822,200
279,2.847,200
280,3.099,200
281,3.099,200
282,3.253,200
283,3.253,200
284,3.310,200
285,3.310,200
286,3.333,300
287,3.446,300
288,3.446,300
289,3.554,300
290,3.619,300
291,3.619,300
292,3.729,300
293,3.767,400
294,3.987,100
295,3.987,100
296,3.987,100
297,4.057,400
298,4.159,400
299,4.137,400
300,4.245,400
301,4.333,400
302,4.436,400
303,4.527,400
304,4.527,400
305,4.616,400
306,4.716,400
307,4.706,400
308,4.811,400
309,4.895,400
310,4.974,400
311,4.912,200
312,5.145,200
313,5.145,200
314,5.145,200
315,5.244,200
316,5.244,200
317,5.244,200
318,5.301,200
319,5.301,200
320,5.301,200
321,5.323,300
322,5.475,300
323,5.449,4300
324,5.670,4500
325,5.918,4500
326,6.171,4500
327,6.338,4600
328,6.608,4600
329,6.823,4700
330,6.945,4700
331,7.181,4800
332,7.623,4800
333,7.877,6400
334,8.238,6400
335,8.604,6400
336,8.963,6400
337,9.370,6400
338,9.739,6400
339,10.000,6400
