総候補数: 761件 / 処理済み: 0件 / 残り: 761件
推定所要時間: 約14.0分

  25/761件処理 (成功25/失敗0, 経過0.5分)
  50/761件処理 (成功50/失敗0, 経過0.9分)
  75/761件処理 (成功75/失敗0, 経過1.4分)
  100/761件処理 (成功100/失敗0, 経過1.8分)
  125/761件処理 (成功125/失敗0, 経過2.3分)
  150/761件処理 (成功150/失敗0, 経過2.8分)
  175/761件処理 (成功175/失敗0, 経過3.2分)
  200/761件処理 (成功200/失敗0, 経過3.7分)
  225/761件処理 (成功225/失敗0, 経過4.1分)
  250/761件処理 (成功250/失敗0, 経過4.6分)
  275/761件処理 (成功275/失敗0, 経過5.1分)
  300/761件処理 (成功300/失敗0, 経過5.5分)
  325/761件処理 (成功325/失敗0, 経過6.0分)
  350/761件処理 (成功350/失敗0, 経過6.4分)
  375/761件処理 (成功375/失敗0, 経過6.9分)
  400/761件処理 (成功400/失敗0, 経過7.4分)
  425/761件処理 (成功425/失敗0, 経過7.8分)
  450/761件処理 (成功450/失敗0, 経過8.3分)
  475/761件処理 (成功475/失敗0, 経過8.7分)
  500/761件処理 (成功500/失敗0, 経過9.2分)
  525/761件処理 (成功525/失敗0, 経過9.6分)
  550/761件処理 (成功550/失敗0, 経過10.1分)
  575/761件処理 (成功575/失敗0, 経過10.6分)
  600/761件処理 (成功600/失敗0, 経過11.0分)
  625/761件処理 (成功625/失敗0, 経過11.5分)
  650/761件処理 (成功650/失敗0, 経過11.9分)
  675/761件処理 (成功675/失敗0, 経過12.4分)
  700/761件処理 (成功700/失敗0, 経過12.9分)
  725/761件処理 (成功725/失敗0, 経過13.3分)
  750/761件処理 (成功750/失敗0, 経過13.8分)
  761/761件処理 (成功761/失敗0, 経過14.0分)

完了。成功761件 / 失敗0件。DB: C:\hoshibiyori\step7_geocoding\candidate_sites.db
