=== グループ1 (2件, 最大内部距離80m) ===
   [KEEP] '妙音沢(Myouon Zawa)'  (35.77641,139.57627)  新座市  id=viewpoint:631463070
   [del ] '妙音沢(Myouon Zawa)'  (35.77712,139.57634)  新座市  id=viewpoint:631463071
=== グループ2 (2件, 最大内部距離38m) ===
   [del ] 'Carrot Tower 26F'  (35.64380,139.66933)  世田谷区  id=viewpoint:1394715627
   [KEEP] 'Great view above Tokyo (on the 26th floor)'  (35.64356,139.66903)  世田谷区  id=viewpoint:11288138836
=== グループ3 (2件, 最大内部距離26m) ===
   [del ] 'Sky Circus'  (35.72944,139.71807)  豊島区  id=viewpoint:1439037612
   [KEEP] 'Sunshine observatory'  (35.72965,139.71794)  豊島区  id=viewpoint:12067181245
=== グループ4 (2件, 最大内部距離51m) ===
   [KEEP] '華厳の滝'  (36.73794,139.50405)  日光市  id=viewpoint:2055694270
   [del ] '華厳の滝'  (36.73823,139.50360)  日光市  id=viewpoint:4921465854
=== グループ5 (3件, 最大内部距離677m) ===
   [del ] '火口展望場'  (34.72602,139.39243)  東京都  id=viewpoint:2092322082
   [del ] '火口展望台'  (34.72883,139.39090)  東京都  id=viewpoint:2092326821
   [KEEP] '火口南展望所'  (34.72436,139.39594)  東京都  id=viewpoint:2092334559
=== グループ6 (3件, 最大内部距離827m) ===
   [KEEP] '黒山三滝 男滝・女滝'  (35.94116,139.24492)  越生町  id=viewpoint:2372853902
   [del ] '黒山展望台'  (35.94040,139.23631)  越生町  id=viewpoint:5313261118
   [del ] '黒山三滝 天狗滝'  (35.94066,139.24549)  越生町  id=viewpoint:12347407656
=== グループ7 (2件, 最大内部距離217m) ===
   [KEEP] '米子大瀑布（観爆）'  (36.57253,138.40672)  須坂市  id=viewpoint:2407032549
   [del ] '米子大瀑布（観爆）'  (36.57059,138.40651)  須坂市  id=viewpoint:2407032568
=== グループ8 (2件, 最大内部距離21m) ===
   [del ] '救命艇'  (35.61922,139.77373)  江東区  id=viewpoint:2455022781
   [KEEP] '２、３番ハッチ'  (35.61911,139.77354)  江東区  id=viewpoint:2455026456
=== グループ9 (2件, 最大内部距離181m) ===
   [KEEP] '湯ノ湖・湯滝展望台'  (36.79663,139.42847)  日光市  id=viewpoint:2722740189
   [del ] '湯滝展望台'  (36.79501,139.42836)  日光市  id=viewpoint:2722740203
=== グループ10 (2件, 最大内部距離242m) ===
   [KEEP] '竜頭滝展望台'  (36.76023,139.45107)  日光市  id=viewpoint:2722740212
   [del ] '竜頭滝展望台'  (36.75810,139.45158)  日光市  id=viewpoint:2722740214
=== グループ11 (2件, 最大内部距離492m) ===
   [KEEP] '半月山展望台'  (36.71104,139.47384)  日光市  id=viewpoint:3186040458
   [del ] '半月山展望台'  (36.70669,139.47483)  日光市  id=viewpoint:4310333797
=== グループ12 (5件, 最大内部距離777m) ===
   [KEEP] 'KING, QUEEN & JACK TOWERS YOKOHAMA VIEW POINT'  (35.44734,139.64331)  横浜市  id=viewpoint:3245631411
   [del ] 'KING, QUEEN & JACK TOWERS YOKOHAMA VIEW POINT'  (35.45269,139.64853)  横浜市  id=viewpoint:3245788081
   [del ] 'KING, QUEEN & JACK TOWERS YOKOHAMA VIEW POINT'  (35.45100,139.64491)  横浜市  id=viewpoint:3245788082
   [del ] 'OSANBASHI VIEWPOINT'  (35.45298,139.64837)  横浜市  id=viewpoint:4895092861
   [del ] 'OSANBASHI VIEWPOINT'  (35.45099,139.64670)  横浜市  id=viewpoint:4895092862
=== グループ13 (2件, 最大内部距離33m) ===
   [del ] '瑠璃光展望台'  (35.15911,139.83313)  鋸南町  id=viewpoint:3606300824
   [KEEP] '地獄のぞき'  (35.15937,139.83329)  鋸南町  id=viewpoint:3606300878
=== グループ14 (4件, 最大内部距離531m) ===
   [del ] '片栗群生地'  (35.78092,139.23071)  青梅市  id=viewpoint:3719445901
   [del ] '片栗群生地'  (35.78148,139.22487)  青梅市  id=viewpoint:3719445907
   [del ] '片栗群生地'  (35.78099,139.22925)  青梅市  id=viewpoint:3719540056
   [KEEP] '曼珠沙華群生地'  (35.78084,139.22951)  青梅市  id=viewpoint:3719605155
=== グループ15 (2件, 最大内部距離875m) ===
   [KEEP] '桜'  (35.78026,139.22896)  青梅市  id=viewpoint:3719445909
   [del ] '桜'  (35.78454,139.22083)  青梅市  id=viewpoint:3733896451
=== グループ16 (13件, 最大内部距離1189m) ===
   [KEEP] '奥多摩・青梅方面眺望スポット'  (35.78028,139.22616)  青梅市  id=viewpoint:3719605141
   [del ] 'つつじ'  (35.78514,139.22046)  青梅市  id=viewpoint:3733904980
   [del ] '梅郷眺望'  (35.78389,139.21829)  青梅市  id=viewpoint:3733935659
   [del ] '青梅方面眺望'  (35.78493,139.22042)  青梅市  id=viewpoint:3733935661
   [del ] 'つつじ'  (35.78462,139.21954)  青梅市  id=viewpoint:3733935662
   [del ] '青梅方面眺望'  (35.78512,139.21843)  青梅市  id=viewpoint:3733935665
   [del ] '青梅方面眺望'  (35.78472,139.21850)  青梅市  id=viewpoint:3733935666
   [del ] '梅郷眺望、愛宕山、三室山眺望'  (35.78541,139.22034)  青梅市  id=viewpoint:3733935667
   [del ] '野草園'  (35.78685,139.22020)  青梅市  id=viewpoint:3733938109
   [del ] '曼珠沙華群生地'  (35.78700,139.22002)  青梅市  id=viewpoint:3733938415
   [del ] 'つつじ'  (35.78726,139.21997)  青梅市  id=viewpoint:3733938547
   [del ] '桜・つつじ'  (35.78766,139.21998)  青梅市  id=viewpoint:3733938575
   [del ] '奥多摩方面・青梅方面眺望'  (35.77956,139.22859)  青梅市  id=viewpoint:3733945858
=== グループ17 (4件, 最大内部距離249m) ===
   [del ] '臘梅'  (35.78499,139.22113)  青梅市  id=viewpoint:3733904979
   [KEEP] '臘梅・水仙'  (35.78632,139.21907)  青梅市  id=viewpoint:3733941450
   [del ] '臘梅'  (35.78676,139.21944)  青梅市  id=viewpoint:3733941515
   [del ] '青梅草'  (35.78598,139.21933)  青梅市  id=viewpoint:3733943165
=== グループ18 (3件, 最大内部距離663m) ===
   [KEEP] '薩埵峠由比側駐車場'  (35.07168,138.54122)  静岡市  id=viewpoint:3839096961
   [del ] '薩埵峠展望台'  (35.07029,138.54126)  静岡市  id=viewpoint:4644258835
   [del ] '薩埵峠'  (35.06592,138.53931)  静岡市  id=viewpoint:12303563079
=== グループ19 (2件, 最大内部距離745m) ===
   [KEEP] 'Mt. Fuji viewpoint'  (35.32767,139.00441)  小山町  id=viewpoint:4171787493
   [del ] 'Mt. Fuji viewpoint'  (35.33377,139.00102)  小山町  id=viewpoint:4171787602
=== グループ20 (2件, 最大内部距離455m) ===
   [del ] '恋人岬'  (34.86755,138.76140)  伊豆市  id=viewpoint:4202340647
   [KEEP] '恋人岬\u3000金の鐘'  (34.86804,138.75644)  伊豆市  id=viewpoint:7802253711
=== グループ21 (2件, 最大内部距離50m) ===
   [KEEP] 'Watch Shibuya Crossing'  (35.65865,139.69985)  渋谷区  id=viewpoint:4316519292
   [del ] '渋谷駅の歩道橋から見た渋谷交差点'  (35.65888,139.70032)  渋谷区  id=viewpoint:13432198601
=== グループ22 (2件, 最大内部距離571m) ===
   [KEEP] '三保の松原 参道入口'  (34.99936,138.52107)  静岡市  id=viewpoint:4359474620
   [del ] '三保の松原'  (34.99474,138.52380)  静岡市  id=viewpoint:4359477662
=== グループ23 (2件, 最大内部距離41m) ===
   [KEEP] '田牛ハマオモト自生地'  (34.64290,138.91545)  下田市  id=viewpoint:5330309977
   [del ] 'サンドスキー場を一望'  (34.64254,138.91555)  下田市  id=viewpoint:5635309782
=== グループ24 (2件, 最大内部距離37m) ===
   [KEEP] '第2観瀑台'  (36.76489,140.40634)  大子町  id=viewpoint:5570085868
   [del ] '第1観瀑台'  (36.76469,140.40667)  大子町  id=viewpoint:12901478461
=== グループ25 (2件, 最大内部距離35m) ===
   [del ] '大銀杏'  (36.07156,140.43818)  行方市  id=viewpoint:5690180122
   [KEEP] '大銀杏二号'  (36.07150,140.43856)  行方市  id=viewpoint:5690238921
=== グループ26 (2件, 最大内部距離795m) ===
   [KEEP] '茶草場農法ビューポイント'  (34.83712,138.08070)  掛川市  id=viewpoint:8827247899
   [del ] '茶草場農法ビューポイント'  (34.83008,138.08219)  掛川市  id=viewpoint:8827247902
=== グループ27 (2件, 最大内部距離49m) ===
   [KEEP] '月テラス'  (35.14530,139.07379)  湯河原町  id=viewpoint:11276644013
   [del ] '滝テラス'  (35.14504,139.07422)  熱海市  id=viewpoint:11276657935
=== グループ28 (2件, 最大内部距離750m) ===
   [KEEP] '黒目川の桜堤'  (35.81551,139.59314)  朝霞市  id=viewpoint:11896906400
   [del ] '黒目川の桜堤'  (35.80963,139.58906)  朝霞市  id=viewpoint:11896906586
=== グループ29 (2件, 最大内部距離33m) ===
   [KEEP] 'View of trains at Ueno Station, and Ameyayokocho'  (35.71216,139.77471)  台東区  id=viewpoint:13360999501
   [del ] 'View of trains at Ueno Station, and Ameyayokocho'  (35.71243,139.77486)  台東区  id=viewpoint:13360999502
=== グループ30 (2件, 最大内部距離120m) ===
   [KEEP] '富士山ビューポイント'  (35.33774,139.56156)  鎌倉市  id=viewpoint:13592495533
   [del ] '富士山ビューポイント'  (35.33880,139.56180)  鎌倉市  id=viewpoint:13592495539
